#   Z    A  M_ej/M_sun
    0    1   6.794e-08
    1    1   2.403e-03
    1    2   7.152e-09
    1    3   2.312e-10
    2    3   2.417e-13
    2    4   1.420e-01
    3    6   1.171e-14
    3    7   4.824e-12
    3    8   9.230e-14
    4    7   1.288e-13
    4    9   2.983e-11
    4   10   1.909e-09
    4   11   5.806e-14
    5   10   1.741e-15
    5   11   1.429e-11
    6   10   3.130e-18
    6   11   5.193e-12
    6   12   3.135e-01
    6   13   3.880e-10
    6   14   2.342e-10
    6   15   4.965e-17
    6   16   2.261e-08
    7   13   2.003e-09
    7   14   4.173e-08
    7   15   1.078e-07
    7   16   2.385e-09
    7   17   8.327e-11
    8   14   3.568e-09
    8   15   1.865e-07
    8   16   1.272e+00
    8   17   1.088e-09
    8   18   6.432e-09
    8   19   2.182e-11
    8   20   5.804e-13
    8   21   2.225e-14
    9   17   6.757e-10
    9   18   5.760e-11
    9   19   1.261e-09
    9   20   1.603e-12
    9   21   1.143e-12
    9   22   9.075e-16
   10   18   1.501e-14
   10   19   1.298e-12
   10   20   5.883e-02
   10   21   5.499e-07
   10   22   1.443e-09
   10   23   3.161e-11
   10   24   9.206e-08
   10   25   8.648e-18
   11   20   3.159e-18
   11   21   4.243e-08
   11   22   1.627e-07
   11   23   2.323e-06
   11   24   3.601e-08
   11   25   1.957e-09
   11   26   9.934e-15
   11   27   2.561e-16
   12   22   7.593e-13
   12   23   2.491e-08
   12   24   1.735e-02
   12   25   3.261e-07
   12   26   1.982e-08
   12   27   4.153e-07
   12   28   1.786e-08
   12   29   2.454e-15
   12   30   4.910e-17
   13   24   1.053e-15
   13   25   1.431e-10
   13   26   1.304e-06
   13   27   1.807e-05
   13   28   1.241e-09
   13   29   2.760e-09
   13   30   1.932e-14
   13   31   3.512e-16
   14   25   1.217e-17
   14   26   5.202e-15
   14   27   2.036e-10
   14   28   5.200e-02
   14   29   2.444e-05
   14   30   5.836e-06
   14   31   4.804e-08
   14   32   2.843e-08
   14   33   3.341e-12
   14   34   7.501e-15
   14   35   2.981e-18
   15   27   6.725e-17
   15   28   2.004e-16
   15   29   4.085e-11
   15   30   1.168e-05
   15   31   1.570e-05
   15   32   1.316e-09
   15   33   6.520e-08
   15   34   6.256e-10
   15   35   2.010e-09
   15   36   1.435e-12
   15   37   2.094e-15
   15   38   5.983e-18
   16   29   2.730e-18
   16   30   8.920e-16
   16   31   6.654e-13
   16   32   2.096e-02
   16   33   9.340e-06
   16   34   4.494e-06
   16   35   1.374e-08
   16   36   7.594e-08
   16   37   5.032e-08
   16   38   7.419e-08
   16   39   8.931e-10
   16   40   3.098e-10
   16   41   6.675e-16
   16   42   4.309e-17
   17   32   1.404e-18
   17   33   9.321e-14
   17   34   7.613e-14
   17   35   8.549e-06
   17   36   1.047e-10
   17   37   1.377e-08
   17   38   1.302e-09
   17   39   2.110e-07
   17   40   1.942e-07
   17   41   9.088e-07
   17   42   7.812e-10
   17   43   5.110e-14
   17   44   3.724e-17
   17   45   3.254e-18
   18   34   2.176e-16
   18   35   2.988e-15
   18   36   4.017e-03
   18   37   4.638e-06
   18   38   4.966e-07
   18   39   4.394e-09
   18   40   2.127e-07
   18   41   3.954e-06
   18   42   5.416e-06
   18   43   1.770e-06
   18   44   3.036e-06
   18   45   5.005e-07
   18   46   6.192e-09
   18   47   3.131e-16
   18   48   1.485e-17
   19   37   1.509e-12
   19   38   2.825e-06
   19   39   4.897e-06
   19   40   9.346e-11
   19   41   2.604e-08
   19   42   2.352e-10
   19   43   4.003e-07
   19   44   3.130e-07
   19   45   9.603e-06
   19   46   5.852e-06
   19   47   2.037e-07
   19   48   6.084e-09
   19   49   2.866e-08
   19   50   3.496e-17
   19   51   1.455e-18
   20   38   1.813e-17
   20   39   1.506e-14
   20   40   5.045e-03
   20   41   2.007e-06
   20   42   1.491e-06
   20   43   1.027e-08
   20   44   1.051e-08
   20   45   4.591e-07
   20   46   4.414e-06
   20   47   8.143e-06
   20   48   9.203e-03
   20   49   9.313e-05
   20   50   1.688e-05
   20   51   2.001e-07
   20   52   1.137e-10
   20   53   2.023e-18
   21   41   2.721e-13
   21   42   1.139e-12
   21   43   2.029e-06
   21   44   6.969e-10
   21   45   4.878e-08
   21   46   1.356e-10
   21   47   1.405e-09
   21   48   1.384e-09
   21   49   1.892e-04
   21   50   1.039e-03
   21   51   2.972e-06
   21   52   4.097e-08
   21   53   6.874e-15
   21   54   1.041e-16
   22   40   2.581e-15
   22   42   5.748e-18
   22   43   2.026e-16
   22   44   5.117e-05
   22   45   4.206e-06
   22   46   2.967e-06
   22   47   1.796e-07
   22   48   1.857e-08
   22   49   3.701e-06
   22   50   1.545e-03
   22   51   2.383e-04
   22   52   5.087e-04
   22   53   3.218e-06
   22   54   6.957e-15
   22   55   1.902e-16
   22   56   2.990e-18
   23   45   5.587e-13
   23   46   3.852e-13
   23   47   5.261e-06
   23   48   1.506e-07
   23   49   2.035e-07
   23   50   7.932e-10
   23   51   4.180e-05
   23   52   4.036e-04
   23   53   5.528e-05
   23   54   5.214e-05
   23   55   7.038e-09
   23   56   4.192e-16
   23   57   4.885e-17
   24   47   1.004e-17
   24   48   1.433e-04
   24   49   4.922e-06
   24   50   5.875e-06
   24   51   3.906e-07
   24   52   8.080e-05
   24   53   5.539e-05
   24   54   1.729e-03
   24   55   6.976e-05
   24   56   7.609e-04
   24   57   6.389e-07
   24   58   2.289e-08
   24   59   6.989e-16
   24   60   1.374e-16
   25   49   1.068e-13
   25   50   3.863e-14
   25   51   1.444e-05
   25   52   2.272e-06
   25   53   1.214e-06
   25   54   6.280e-08
   25   55   5.625e-05
   25   56   1.625e-04
   25   57   4.837e-05
   25   58   1.716e-08
   25   59   1.545e-10
   25   60   5.813e-16
   25   61   1.096e-16
   25   62   5.924e-18
   26   52   1.141e-03
   26   53   8.357e-06
   26   54   1.724e-05
   26   55   5.870e-07
   26   56   3.123e-04
   26   57   8.178e-05
   26   58   5.199e-03
   26   59   9.439e-05
   26   60   4.327e-03
   26   61   1.460e-05
   26   62   3.012e-04
   26   63   2.679e-10
   26   64   6.811e-15
   26   65   8.835e-17
   26   66   1.392e-17
   27   53   2.516e-15
   27   54   1.156e-15
   27   55   2.973e-05
   27   56   2.632e-05
   27   57   8.638e-06
   27   58   6.426e-07
   27   59   5.920e-05
   27   60   2.013e-06
   27   61   1.724e-04
   27   62   3.364e-04
   27   63   2.045e-05
   27   64   1.277e-15
   27   65   9.552e-16
   27   66   3.192e-17
