#   Z    A  M_ej/M_sun
    1    1   4.691e-02
    1    2   1.002e-19
    2    3   1.187e-16
    2    4   3.972e-01
    3    7   6.161e-16
    5   10   3.042e-17
    5   11   2.216e-13
    6   12   4.521e-01
    6   13   2.604e-09
    7   14   1.415e-08
    7   15   5.779e-08
    8   16   1.996e+00
    8   17   1.210e-08
    8   18   1.306e-10
    9   19   2.836e-12
   10   20   1.608e-01
   10   21   1.580e-08
   10   22   1.278e-08
   11   23   5.088e-07
   12   24   2.378e-02
   12   25   1.240e-07
   12   26   1.802e-07
   13   27   4.436e-06
   14   28   1.687e-02
   14   29   6.025e-06
   14   30   7.493e-06
   15   31   7.434e-06
   16   32   7.221e-03
   16   33   2.522e-06
   16   34   2.856e-06
   16   36   2.026e-13
   17   35   8.919e-06
   17   37   6.934e-06
   18   36   1.458e-03
   18   38   5.816e-06
   18   40   8.263e-13
   19   39   9.784e-06
   19   40   1.705e-12
   19   41   6.540e-06
   20   40   2.032e-03
   20   42   5.117e-06
   20   43   8.934e-06
   20   44   1.082e-04
   20   46   4.682e-14
   21   45   2.350e-05
   22   46   2.024e-05
   22   47   3.768e-05
   22   48   2.539e-04
   22   49   4.281e-05
   22   50   5.162e-16
   23   50   1.109e-12
   23   51   6.394e-05
   24   50   3.665e-05
   24   52   1.296e-03
   24   53   3.994e-05
   24   54   4.453e-11
   25   55   6.768e-05
   26   54   3.926e-05
   26   56   7.881e-01
   26   57   2.108e-02
   26   58   4.281e-10
   27   59   1.708e-03
   28   58   6.587e-03
   28   60   2.390e-02
   28   61   2.648e-04
   28   62   3.600e-04
   28   64   6.022e-10
   29   63   5.802e-05
   29   65   1.764e-05
   30   64   9.893e-04
   30   66   1.584e-05
   30   67   3.920e-06
   30   68   3.067e-05
   30   70   4.127e-16
   31   69   1.204e-06
   31   71   3.112e-07
   32   70   1.678e-06
   32   72   1.188e-06
   32   73   1.503e-07
   32   74   4.460e-13
   32   76   9.067e-18
   33   75   5.133e-08
   34   74   1.903e-07
   34   76   1.074e-07
   34   77   3.393e-08
   34   78   4.633e-13
   34   80   1.585e-16
   34   82   6.009e-20
   35   79   9.197e-09
   35   81   5.719e-09
   36   78   3.266e-08
   36   80   1.716e-08
   36   82   4.317e-09
   36   83   2.343e-09
   36   84   2.299e-13
   36   86   1.343e-19
   37   85   1.906e-09
   37   87   1.213e-16
   38   84   3.757e-09
   38   86   1.694e-09
   38   87   8.793e-10
   38   88   7.160e-10
   39   89   4.686e-10
   40   90   1.024e-08
   40   91   5.136e-10
   40   92   1.094e-15
   41   93   1.730e-11
   42   92   1.389e-09
   42   94   8.919e-12
   42   95   2.024e-12
   42   96   3.488e-17
   42   97   7.234e-14
   44   96   7.329e-13
   44   98   2.679e-14
   44   99   4.774e-15
   44  100   3.993e-16
   44  101   4.881e-17
   45  103   2.105e-18
   46  102   1.137e-17
   46  104   2.015e-19
