#   Z    A  M_ej/M_sun
    1    1   1.186e-05
    1    2   2.684e-08
    2    3   2.992e-09
    2    4   1.735e-04
    3    6   1.267e-11
    3    7   3.325e-10
    4    9   2.669e-07
    5   10   1.401e-09
    5   11   2.647e-10
    6   12   1.140e-07
    6   13   3.111e-08
    7   14   2.255e-08
    7   15   1.584e-08
    8   16   3.230e-08
    8   17   2.192e-09
    8   18   1.012e-07
    9   19   5.357e-08
   10   20   6.645e-07
   10   21   1.571e-06
   10   22   4.481e-07
   11   23   1.500e-07
   12   24   1.988e-05
   12   25   4.916e-06
   12   26   2.823e-07
   13   27   1.529e-06
   14   28   6.966e-07
   14   29   1.275e-07
   14   30   9.966e-07
   15   31   6.348e-07
   16   32   3.729e-07
   16   33   2.778e-06
   16   34   2.693e-06
   16   36   3.033e-07
   17   35   4.364e-07
   17   37   4.010e-07
   18   36   1.611e-10
   18   38   9.018e-07
   18   40   4.318e-06
   19   39   2.714e-06
   19   40   2.218e-12
   19   41   2.201e-06
   20   40   5.098e-09
   20   42   4.588e-07
   20   43   3.254e-07
   20   44   1.178e-06
   20   46   2.294e-06
   20   48   6.377e-05
   21   45   5.077e-07
   22   46   2.114e-09
   22   47   1.614e-06
   22   48   2.085e-09
   22   49   5.797e-05
   22   50   1.483e-04
   23   50   3.602e-11
   23   51   6.114e-05
   24   50   4.614e-09
   24   52   6.006e-05
   24   53   1.373e-05
   24   54   6.837e-05
   25   55   5.256e-06
   26   54   4.933e-09
   26   56   1.817e-05
   26   57   1.490e-05
   26   58   2.094e-05
   27   59   1.009e-05
   28   58   2.621e-07
   28   60   3.127e-05
   28   61   1.621e-05
   28   62   6.920e-05
   28   64   5.177e-05
   29   63   1.808e-05
   29   65   2.146e-05
   30   64   2.003e-06
   30   66   5.158e-05
   30   67   2.050e-05
   30   68   5.670e-05
   30   70   4.743e-05
   31   69   2.217e-05
   31   71   3.630e-05
   32   70   5.979e-07
   32   72   4.975e-05
   32   73   2.327e-05
   32   74   8.380e-05
   32   76   1.326e-04
   33   75   1.527e-05
   34   74   1.488e-08
   34   76   1.841e-07
   34   77   3.144e-05
   34   78   2.205e-04
   34   80   5.082e-04
   34   82   5.916e-04
   35   79   3.632e-04
   35   81   5.696e-04
   36   78   3.576e-10
   36   80   7.668e-09
   36   82   6.113e-08
   36   83   2.245e-04
   36   84   2.692e-04
   36   86   2.632e-04
   37   85   1.894e-04
   37   87   3.010e-04
   38   84   2.991e-10
   38   86   4.068e-08
   38   87   3.880e-08
   38   88   3.290e-04
   39   89   1.099e-04
   40   90   1.720e-04
   40   91   1.113e-04
   40   92   1.080e-04
   40   94   8.828e-05
   40   96   7.858e-05
   41   93   7.916e-05
   42   92   9.560e-10
   42   94   2.940e-10
   42   95   3.874e-05
   42   96   5.559e-12
   42   97   3.686e-05
   42   98   7.153e-05
   42  100   5.022e-05
   44   96   1.099e-14
   44   98   2.526e-14
   44   99   3.057e-05
   44  100   2.037e-12
   44  101   7.050e-05
   44  102   2.298e-04
   44  104   1.147e-04
   45  103   9.729e-05
   46  102   7.767e-19
   46  104   8.845e-15
   46  105   1.123e-04
   46  106   1.091e-04
   46  108   1.132e-04
   46  110   8.810e-05
   47  107   8.438e-05
   47  109   9.244e-05
   48  110   2.314e-12
   48  111   7.520e-05
   48  112   1.367e-04
   48  113   7.398e-05
   48  114   8.217e-05
   48  116   8.796e-05
   49  113   3.321e-22
   49  115   6.568e-05
   50  114   2.117e-22
   50  115   1.062e-19
   50  116   3.157e-14
   50  117   5.896e-05
   50  118   7.373e-05
   50  119   5.348e-05
   50  120   6.655e-05
   50  122   1.128e-04
   50  124   1.270e-04
   51  121   8.344e-05
   51  123   9.213e-05
   52  122   3.089e-12
   52  123   8.380e-20
   52  124   4.297e-14
   52  125   1.069e-04
   52  126   2.462e-04
   52  128   2.242e-04
   52  130   3.597e-04
   53  127   2.253e-04
   54  128   5.381e-18
   54  129   1.808e-04
   54  130   1.899e-14
   54  131   1.082e-04
   54  132   1.295e-04
   54  134   7.554e-05
   54  136   9.160e-05
   55  133   1.027e-04
   56  134   1.363e-18
   56  135   1.056e-04
   56  136   9.412e-12
   56  137   6.274e-05
   56  138   7.737e-05
   57  138   9.547e-19
   57  139   9.641e-05
   58  140   7.279e-05
   58  142   6.128e-05
   59  141   5.151e-05
   60  142   1.144e-19
   60  143   7.056e-05
   60  144   7.412e-05
   60  145   4.535e-05
   60  146   6.546e-05
   60  148   7.080e-05
   60  150   7.518e-05
   62  147   5.462e-05
   62  148   2.930e-18
   62  149   6.308e-05
   62  150   5.768e-16
   62  152   6.893e-05
   62  154   8.112e-05
   63  151   8.039e-05
   63  153   6.732e-05
   64  154   1.056e-15
   64  155   8.294e-05
   64  156   1.080e-04
   64  157   1.043e-04
   64  158   1.452e-04
   64  160   1.146e-04
   65  159   1.132e-04
   66  160   1.944e-15
   66  161   1.162e-04
   66  162   1.130e-04
   66  163   1.231e-04
   66  164   1.019e-04
   67  165   1.131e-04
   68  166   8.289e-05
   68  167   7.836e-05
   68  168   6.167e-05
   68  170   6.281e-05
   69  169   4.440e-05
   70  170   5.668e-17
   70  171   4.391e-05
   70  172   3.681e-05
   70  173   3.084e-05
   70  174   4.229e-05
   70  176   3.494e-05
   71  175   4.514e-05
   71  176   1.040e-18
   72  177   3.174e-05
   72  178   2.377e-05
   72  179   1.761e-05
   72  180   2.360e-05
   73  181   1.679e-05
   74  182   2.271e-05
   74  183   1.896e-05
   74  184   3.746e-05
   74  186   5.357e-05
   75  185   3.141e-05
   75  187   7.700e-05
   76  186   1.012e-21
   76  187   1.281e-15
   76  188   8.833e-05
   76  189   1.428e-04
   76  190   1.576e-04
   76  192   1.850e-04
   77  191   1.382e-04
   77  193   1.542e-04
   78  192   2.233e-19
   78  194   2.137e-04
   78  195   3.520e-04
   78  196   4.800e-04
   78  198   1.786e-04
   79  197   2.402e-04
   80  198   5.379e-15
   80  199   2.452e-04
   80  200   2.304e-04
   80  201   2.595e-04
   80  202   5.058e-05
   80  204   2.232e-06
   81  203   1.536e-05
   81  205   1.376e-06
   82  204   6.406e-16
   82  206   7.683e-05
   82  207   6.234e-05
   82  208   4.461e-05
   83  209   1.632e-04
   90  232   1.011e-04
   92  235   1.063e-04
   92  238   6.637e-05
