#   Z    A  M_ej/M_sun
    0    1   3.909e-16
    1    1   4.276e-02
    1    2   1.042e-13
    1    3   5.358e-17
    2    3   4.089e-13
    2    4   3.852e-01
    3    6   1.520e-16
    3    7   1.870e-15
    4    7   2.196e-12
    5    8   1.234e-16
    5   10   9.106e-16
    5   11   1.590e-13
    6   10   4.010e-17
    6   11   3.367e-12
    6   12   3.240e-01
    6   13   7.004e-10
    6   14   3.635e-10
    6   16   1.814e-09
    7   13   5.031e-09
    7   14   1.390e-07
    7   15   1.002e-07
    7   16   1.913e-10
    7   17   4.270e-12
    8   14   3.888e-09
    8   15   2.011e-07
    8   16   1.298e+00
    8   17   2.183e-08
    8   18   2.520e-10
    8   19   4.899e-13
    8   20   1.694e-13
    8   21   6.682e-16
    9   17   2.351e-08
    9   18   5.108e-10
    9   19   1.006e-10
    9   20   4.924e-13
    9   21   3.783e-14
    9   22   6.546e-17
   10   18   7.564e-13
   10   19   4.043e-12
   10   20   7.225e-02
   10   21   2.776e-07
   10   22   4.679e-09
   10   23   2.666e-11
   10   24   1.235e-09
   11   19   1.409e-18
   11   20   7.414e-15
   11   21   2.167e-08
   11   22   1.736e-07
   11   23   4.480e-06
   11   24   5.294e-10
   11   25   1.930e-10
   12   21   1.828e-15
   12   22   9.770e-12
   12   23   5.040e-08
   12   24   1.976e-02
   12   25   6.377e-07
   12   26   1.327e-07
   12   27   2.549e-09
   12   28   5.341e-10
   13   24   7.813e-13
   13   25   6.727e-10
   13   26   1.234e-06
   13   27   1.833e-05
   13   28   1.338e-10
   13   29   6.089e-10
   13   30   1.613e-16
   14   25   4.818e-13
   14   26   7.220e-12
   14   27   2.579e-10
   14   28   9.192e-02
   14   29   2.352e-05
   14   30   8.031e-06
   14   31   5.411e-10
   14   32   1.491e-09
   14   33   1.370e-13
   14   34   2.032e-17
   15   27   1.373e-13
   15   28   5.854e-13
   15   29   2.894e-10
   15   30   1.755e-05
   15   31   2.284e-05
   15   32   3.318e-11
   15   33   2.900e-09
   15   34   4.316e-11
   15   35   5.928e-10
   15   36   8.093e-14
   16   28   1.563e-18
   16   29   5.643e-13
   16   30   8.128e-12
   16   31   1.082e-10
   16   32   4.464e-02
   16   33   9.722e-06
   16   34   1.512e-05
   16   35   2.730e-09
   16   36   9.516e-09
   16   37   1.595e-08
   16   38   2.427e-08
   16   39   3.065e-10
   16   40   5.522e-11
   16   41   5.663e-18
   17   31   4.428e-18
   17   32   4.861e-13
   17   33   3.825e-11
   17   34   2.369e-11
   17   35   2.340e-05
   17   36   1.087e-10
   17   37   4.625e-09
   17   38   1.115e-09
   17   39   7.964e-08
   17   40   4.186e-08
   17   41   3.795e-07
   17   42   3.463e-10
   17   43   1.507e-14
   18   33   1.847e-14
   18   34   7.996e-12
   18   35   2.794e-11
   18   36   8.653e-03
   18   37   1.497e-05
   18   38   2.490e-06
   18   39   1.926e-09
   18   40   4.904e-08
   18   41   1.693e-06
   18   42   2.848e-06
   18   43   9.048e-07
   18   44   1.265e-06
   18   45   2.416e-07
   18   46   2.065e-09
   19   36   1.024e-13
   19   37   8.298e-11
   19   38   1.500e-05
   19   39   3.722e-05
   19   40   4.111e-10
   19   41   1.128e-08
   19   42   1.030e-10
   19   43   2.040e-07
   19   44   1.333e-07
   19   45   4.724e-06
   19   46   2.165e-06
   19   47   4.188e-08
   19   48   2.602e-09
   19   49   1.395e-08
   20   37   7.388e-14
   20   38   2.196e-12
   20   39   2.523e-11
   20   40   1.080e-02
   20   41   1.222e-05
   20   42   1.144e-05
   20   43   8.177e-08
   20   44   5.831e-09
   20   45   2.271e-07
   20   46   1.649e-06
   20   47   1.702e-06
   20   48   6.436e-05
   20   49   1.455e-05
   20   50   7.078e-08
   20   51   2.970e-08
   20   52   1.937e-11
   21   40   2.960e-16
   21   41   6.824e-09
   21   42   8.746e-09
   21   43   1.882e-05
   21   44   3.892e-09
   21   45   1.849e-07
   21   46   5.213e-11
   21   47   4.802e-10
   21   48   5.096e-10
   21   49   5.990e-06
   21   50   4.489e-06
   21   51   3.400e-07
   21   52   7.152e-09
   21   53   6.766e-16
   22   40   5.250e-14
   22   42   7.942e-11
   22   43   8.551e-10
   22   44   1.808e-04
   22   45   3.051e-05
   22   46   2.989e-05
   22   47   2.148e-06
   22   48   7.486e-09
   22   49   1.032e-07
   22   50   7.047e-05
   22   51   1.615e-05
   22   52   1.150e-05
   22   53   5.047e-07
   22   54   9.315e-17
   23   43   8.125e-18
   23   44   7.429e-12
   23   45   4.039e-09
   23   46   2.608e-09
   23   47   6.791e-05
   23   48   3.676e-07
   23   49   7.616e-07
   23   50   5.020e-10
   23   51   2.989e-06
   23   52   8.607e-06
   23   53   3.979e-06
   23   54   3.013e-06
   23   55   7.703e-11
   24   45   3.648e-14
   24   46   3.503e-12
   24   47   7.576e-11
   24   48   4.179e-04
   24   49   2.921e-05
   24   50   3.455e-05
   24   51   2.025e-06
   24   52   2.682e-06
   24   53   3.838e-06
   24   54   3.546e-04
   24   55   1.556e-06
   24   56   3.019e-05
   24   57   3.918e-07
   24   58   9.969e-10
   25   46   4.590e-18
   25   48   7.756e-14
   25   49   5.589e-10
   25   50   2.485e-10
   25   51   8.659e-05
   25   52   4.992e-06
   25   53   4.745e-06
   25   54   1.781e-08
   25   55   1.160e-05
   25   56   6.930e-06
   25   57   9.803e-06
   25   58   7.476e-10
   25   59   3.820e-12
   26   49   2.067e-16
   26   50   7.421e-13
   26   51   9.312e-13
   26   52   2.430e-03
   26   53   3.784e-05
   26   54   4.998e-05
   26   55   5.663e-07
   26   56   1.144e-04
   26   57   1.748e-05
   26   58   2.044e-03
   26   59   1.124e-05
   26   60   4.250e-04
   26   61   3.887e-06
   26   62   4.828e-06
   26   63   1.948e-10
   26   64   8.688e-17
   27   52   1.425e-17
   27   53   2.271e-11
   27   54   1.367e-11
   27   55   9.381e-05
   27   56   1.264e-04
   27   57   1.491e-05
   27   58   2.977e-07
   27   59   2.635e-05
   27   60   9.642e-07
   27   61   6.580e-05
   27   62   5.575e-06
   27   63   1.880e-06
   27   64   1.886e-17
   28   54   2.801e-15
   28   55   3.738e-15
   28   56   1.084e+00
   28   57   2.280e-02
   28   58   5.773e-02
   28   59   1.303e-03
   28   60   1.484e-02
   28   61   1.818e-04
   28   62   1.470e-02
   28   63   7.707e-05
   28   64   6.493e-03
   28   65   1.128e-05
   28   66   1.553e-03
   28   67   4.877e-07
   28   68   6.538e-06
   28   69   4.776e-08
   28   70   4.187e-10
   28   71   1.952e-15
   29   57   1.065e-07
   29   58   1.162e-07
   29   59   7.341e-04
   29   60   8.515e-03
   29   61   2.687e-04
   29   62   9.882e-06
   29   63   2.785e-04
   29   64   3.707e-06
   29   65   1.011e-04
   29   66   8.512e-07
   29   67   3.633e-05
   29   68   1.571e-05
   29   69   1.396e-05
   29   70   2.760e-06
   29   71   1.587e-07
   29   72   2.449e-09
   29   73   2.588e-12
   30   58   5.542e-12
   30   59   5.772e-12
   30   60   1.677e-02
   30   61   1.445e-04
   30   62   3.550e-03
   30   63   7.987e-05
   30   64   2.541e-03
   30   65   4.120e-05
   30   66   3.095e-03
   30   67   4.347e-06
   30   68   3.183e-04
   30   69   5.965e-06
   30   70   2.840e-05
   30   71   2.912e-06
   30   72   3.121e-05
   30   73   2.014e-07
   30   74   1.629e-05
   30   75   1.599e-08
   30   76   3.341e-10
   30   77   4.547e-16
   31   61   1.444e-11
   31   62   2.569e-11
   31   63   6.896e-06
   31   64   3.077e-04
   31   65   9.732e-06
   31   66   2.522e-07
   31   67   5.567e-06
   31   68   2.309e-07
   31   69   1.340e-05
   31   70   4.229e-08
   31   71   2.428e-06
   31   72   1.462e-08
   31   73   3.315e-06
   31   74   1.500e-05
   31   75   6.079e-06
   31   76   2.018e-06
   31   77   2.458e-07
   31   78   3.632e-10
   31   79   3.613e-13
   31   80   7.706e-18
   32   62   2.665e-17
   32   63   3.964e-16
   32   64   2.688e-04
   32   65   2.496e-06
   32   66   3.089e-05
   32   67   1.846e-06
   32   68   5.298e-05
   32   69   9.622e-07
   32   70   1.923e-04
   32   71   1.037e-06
   32   72   9.080e-05
   32   73   1.532e-07
   32   74   1.854e-05
   32   75   3.735e-06
   32   76   1.414e-04
   32   77   2.764e-05
   32   78   2.144e-04
   32   79   2.314e-06
   32   80   5.883e-06
   32   81   1.064e-08
   32   82   6.827e-11
   32   83   7.969e-18
   33   65   1.470e-15
   33   66   5.867e-13
   33   67   5.653e-07
   33   68   7.622e-06
   33   69   3.194e-07
   33   70   7.427e-09
   33   71   4.428e-08
   33   72   4.381e-09
   33   73   1.216e-06
   33   74   3.186e-08
   33   75   7.800e-07
   33   76   8.585e-09
   33   77   9.555e-06
   33   78   2.837e-06
   33   79   6.112e-05
   33   80   5.389e-06
   33   81   9.464e-06
   33   82   1.094e-06
   33   83   1.038e-07
   33   84   2.399e-12
   33   85   2.482e-11
   33   86   4.300e-18
   34   67   2.473e-18
   34   68   2.726e-06
   34   69   8.433e-08
   34   70   3.055e-07
   34   71   7.240e-08
   34   72   5.425e-07
   34   73   1.859e-08
   34   74   5.317e-06
   34   75   4.798e-07
   34   76   3.004e-05
   34   77   2.521e-07
   34   78   1.517e-05
   34   79   6.456e-06
   34   80   1.508e-04
   34   81   5.030e-05
   34   82   3.569e-04
   34   83   1.334e-05
   34   84   1.581e-04
   34   85   6.670e-07
   34   86   1.994e-07
   34   87   9.333e-11
   34   88   9.386e-17
   34   89   7.648e-18
   35   70   1.412e-14
   35   71   1.092e-08
   35   72   1.993e-07
   35   73   1.704e-08
   35   74   1.965e-09
   35   75   1.935e-09
   35   76   2.100e-10
   35   77   1.504e-07
   35   78   2.195e-09
   35   79   1.034e-06
   35   80   2.296e-08
   35   81   3.565e-06
   35   82   2.165e-07
   35   83   3.818e-05
   35   84   6.515e-05
   35   85   4.802e-05
   35   86   7.180e-06
   35   87   3.146e-06
   35   88   1.158e-07
   35   89   1.884e-10
   35   90   1.014e-15
   35   91   5.623e-17
   35   92   7.713e-18
   36   72   1.927e-08
   36   73   4.998e-09
   36   74   2.402e-08
   36   75   6.725e-09
   36   76   2.985e-08
   36   77   5.653e-09
   36   78   1.708e-07
   36   79   3.488e-08
   36   80   2.154e-06
   36   81   1.126e-07
   36   82   6.776e-06
   36   83   4.428e-07
   36   84   7.700e-05
   36   85   2.883e-05
   36   86   1.817e-03
   36   87   9.182e-06
   36   88   1.292e-04
   36   89   2.026e-05
   36   90   5.996e-06
   36   91   2.208e-09
   36   92   6.287e-16
   36   93   3.097e-16
   36   94   3.441e-17
   36   95   3.650e-18
   37   74   2.578e-16
   37   75   6.752e-10
   37   76   5.944e-09
   37   77   1.704e-08
   37   78   1.037e-08
   37   79   1.462e-08
   37   80   5.406e-10
   37   81   1.423e-08
   37   82   7.534e-10
   37   83   2.744e-07
   37   84   4.953e-08
   37   85   9.972e-07
   37   86   2.783e-07
   37   87   3.811e-04
   37   88   1.063e-06
   37   89   2.865e-05
   37   90   3.338e-05
   37   91   1.351e-05
   37   92   7.958e-12
   37   93   2.684e-10
   37   94   5.003e-15
   37   95   1.537e-16
   37   96   4.976e-17
   37   97   1.875e-17
   38   76   5.537e-11
   38   77   3.353e-11
   38   78   1.927e-08
   38   79   6.750e-09
   38   80   3.213e-08
   38   81   1.161e-08
   38   82   4.923e-08
   38   83   8.963e-09
   38   84   1.369e-07
   38   85   6.847e-08
   38   86   2.497e-06
   38   87   1.582e-06
   38   88   2.964e-03
   38   89   3.972e-06
   38   90   1.431e-05
   38   91   3.137e-05
   38   92   1.642e-04
   38   93   1.257e-05
   38   94   6.900e-05
   38   95   4.353e-08
   38   96   8.847e-16
   38   97   2.905e-16
   38   98   3.319e-16
   38   99   6.666e-17
   38  100   2.210e-17
   39   79   3.856e-11
   39   80   7.575e-10
   39   81   5.792e-09
   39   82   1.417e-09
   39   83   2.526e-08
   39   84   5.714e-09
   39   85   1.931e-08
   39   86   9.127e-09
   39   87   4.285e-08
   39   88   8.135e-08
   39   89   1.788e-04
   39   90   8.567e-08
   39   91   4.783e-08
   39   92   1.183e-06
   39   93   2.254e-06
   39   94   9.828e-05
   39   95   4.022e-05
   39   96   3.026e-11
   39   97   1.276e-12
   39   98   4.929e-16
   39   99   1.184e-15
   39  100   4.288e-16
   39  101   1.702e-16
   39  102   4.879e-17
   39  103   1.018e-17
   40   80   5.569e-14
   40   81   2.179e-13
   40   82   4.067e-09
   40   83   2.536e-09
   40   84   2.558e-08
   40   85   1.088e-08
   40   86   2.679e-08
   40   87   1.223e-08
   40   88   4.241e-08
   40   89   1.382e-07
   40   90   4.906e-04
   40   91   8.419e-07
   40   92   7.137e-08
   40   93   3.120e-09
   40   94   3.606e-06
   40   95   4.722e-06
   40   96   4.290e-05
   40   97   6.845e-06
   40   98   1.727e-06
   40   99   2.159e-15
   40  100   3.614e-09
   40  101   3.245e-15
   40  102   1.157e-13
   40  103   7.609e-16
   40  104   3.177e-16
   40  105   9.048e-17
   40  106   6.605e-18
   41   83   1.017e-15
   41   84   4.921e-12
   41   85   6.005e-10
   41   86   1.213e-08
   41   87   1.377e-08
   41   88   6.657e-09
   41   89   1.458e-08
   41   90   7.433e-09
   41   91   9.679e-07
   41   92   3.132e-09
   41   93   4.663e-09
   41   94   1.380e-10
   41   95   2.946e-10
   41   96   4.564e-10
   41   97   2.560e-08
   41   98   1.774e-07
   41   99   1.235e-08
   41  100   9.681e-10
   41  101   1.968e-09
   41  102   7.241e-11
   41  103   1.687e-15
   41  104   1.681e-10
   41  105   1.481e-13
   41  106   4.323e-16
   41  107   7.998e-17
   41  108   1.953e-17
   42   85   2.069e-16
   42   86   9.095e-10
   42   87   3.363e-10
   42   88   2.254e-08
   42   89   5.846e-09
   42   90   4.401e-08
   42   91   1.028e-08
   42   92   4.348e-07
   42   93   1.204e-08
   42   94   2.189e-08
   42   95   1.913e-10
   42   96   2.699e-10
   42   97   7.380e-10
   42   98   1.332e-05
   42   99   7.511e-07
   42  100   2.045e-05
   42  101   7.401e-06
   42  102   1.606e-05
   42  103   4.940e-06
   42  104   1.017e-05
   42  105   2.280e-06
   42  106   4.857e-09
   42  107   7.362e-13
   42  108   1.013e-15
   42  109   3.103e-16
   42  110   6.057e-17
   42  111   9.036e-18
   43   88   1.659e-14
   43   89   3.633e-11
   43   90   1.847e-11
   43   91   1.413e-08
   43   92   1.676e-08
   43   93   2.820e-08
   43   94   3.328e-08
   43   95   1.068e-09
   43   96   2.980e-11
   43   97   1.717e-10
   43   98   1.059e-10
   43   99   4.768e-10
   43  100   1.876e-11
   43  101   5.021e-07
   43  102   1.260e-07
   43  103   4.220e-06
   43  104   1.801e-05
   43  105   1.050e-05
   43  106   1.277e-06
   43  107   4.533e-07
   43  108   8.282e-11
   43  109   1.297e-15
   43  110   1.045e-15
   43  111   2.389e-16
   43  112   9.133e-17
   43  113   2.161e-17
   44   90   5.393e-11
   44   91   3.995e-12
   44   92   4.318e-08
   44   93   6.006e-09
   44   94   1.734e-06
   44   95   1.304e-07
   44   96   4.964e-08
   44   97   6.849e-10
   44   98   3.060e-10
   44   99   5.305e-11
   44  100   6.945e-10
   44  101   1.977e-08
   44  102   1.397e-06
   44  103   3.926e-06
   44  104   6.405e-07
   44  105   1.036e-06
   44  106   5.058e-06
   44  107   6.605e-06
   44  108   5.328e-06
   44  109   9.150e-07
   44  110   2.041e-08
   44  111   3.666e-15
   44  112   2.570e-15
   44  113   7.225e-16
   44  114   2.605e-16
   44  115   5.833e-17
   44  116   8.337e-18
   45   92   2.118e-16
   45   93   2.437e-11
   45   94   2.393e-09
   45   95   4.348e-07
   45   96   7.286e-07
   45   97   3.104e-08
   45   98   3.585e-09
   45   99   4.644e-10
   45  100   9.923e-12
   45  101   6.538e-11
   45  102   2.562e-11
   45  103   2.200e-10
   45  104   8.463e-11
   45  105   2.897e-09
   45  106   1.949e-10
   45  107   1.504e-06
   45  108   3.356e-07
   45  109   3.118e-06
   45  110   7.120e-09
   45  111   7.788e-09
   45  112   9.798e-12
   45  113   2.826e-14
   45  114   2.524e-15
   45  115   9.096e-16
   45  116   3.199e-16
   45  117   1.965e-16
   45  118   8.858e-17
   45  119   4.145e-17
   46   94   4.269e-12
   46   95   4.634e-14
   46   96   1.045e-06
   46   97   7.878e-08
   46   98   6.699e-08
   46   99   1.320e-08
   46  100   2.336e-08
   46  101   2.951e-09
   46  102   1.233e-09
   46  103   4.720e-11
   46  104   2.792e-10
   46  105   7.579e-11
   46  106   1.133e-09
   46  107   3.330e-08
   46  108   1.027e-06
   46  109   2.178e-06
   46  110   4.593e-06
   46  111   1.912e-06
   46  112   2.124e-06
   46  113   2.440e-06
   46  114   5.394e-06
   46  115   2.966e-07
   46  116   1.029e-08
   46  117   5.967e-12
   46  118   2.360e-15
   46  119   1.131e-15
   46  120   7.627e-16
   46  121   3.174e-16
   46  122   1.928e-16
   46  123   8.643e-17
   46  124   1.393e-17
   46  125   2.378e-17
   46  126   1.834e-17
   47   96   1.754e-16
   47   97   2.096e-09
   47   98   8.171e-09
   47   99   1.901e-08
   47  100   8.298e-09
   47  101   2.550e-08
   47  102   9.238e-09
   47  103   1.180e-09
   47  104   1.515e-09
   47  105   1.318e-10
   47  106   3.487e-12
   47  107   2.065e-11
   47  108   6.775e-12
   47  109   1.445e-09
   47  110   3.845e-11
   47  111   7.806e-08
   47  112   2.958e-09
   47  113   2.437e-06
   47  114   1.767e-07
   47  115   3.604e-06
   47  116   1.746e-06
