#   Z    A  M_ej/M_sun
    1    1   6.986e-06
    1    2   1.166e-08
    2    3   2.103e-09
    2    4   1.093e-04
    3    6   3.650e-13
    3    7   2.949e-11
    4    9   1.810e-08
    5   10   7.427e-10
    5   11   1.327e-10
    6   12   2.033e-09
    6   13   2.912e-09
    7   14   2.629e-09
    7   15   7.419e-10
    8   16   1.676e-09
    8   17   1.698e-11
    8   18   8.059e-09
    9   19   4.159e-10
   10   20   2.014e-08
   10   21   2.570e-08
   10   22   1.473e-09
   11   23   8.585e-09
   12   24   4.491e-07
   12   25   1.886e-08
   12   26   1.653e-09
   13   27   4.477e-08
   14   28   1.597e-08
   14   29   2.291e-09
   14   30   1.924e-08
   15   31   1.018e-08
   16   32   6.420e-09
   16   33   5.881e-08
   16   34   6.509e-08
   16   36   8.473e-09
   17   35   9.862e-09
   17   37   1.368e-08
   18   36   6.096e-11
   18   38   2.827e-08
   18   40   1.345e-07
   19   39   8.968e-08
   19   40   1.402e-12
   19   41   7.867e-08
   20   40   5.336e-10
   20   42   1.553e-08
   20   43   1.269e-08
   20   44   3.482e-08
   20   46   2.209e-07
   20   48   1.765e-05
   21   45   1.256e-08
   22   46   1.043e-09
   22   47   3.853e-07
   22   48   1.144e-09
   22   49   8.388e-06
   22   50   5.126e-05
   23   50   3.348e-11
   23   51   1.871e-05
   24   50   1.488e-09
   24   52   2.252e-05
   24   53   6.919e-06
   24   54   4.324e-05
   25   55   7.010e-06
   26   54   3.002e-09
   26   56   1.133e-05
   26   57   1.034e-05
   26   58   2.106e-05
   27   59   7.449e-06
   28   58   5.541e-08
   28   60   3.173e-05
   28   61   2.801e-05
   28   62   7.868e-05
   28   64   7.090e-05
   29   63   3.215e-05
   29   65   3.180e-05
   30   64   1.470e-06
   30   66   3.877e-05
   30   67   2.804e-05
   30   68   3.834e-05
   30   70   6.346e-05
   31   69   2.141e-05
   31   71   3.607e-05
   32   70   6.230e-07
   32   72   6.580e-05
   32   73   3.555e-05
   32   74   1.038e-04
   32   76   7.921e-05
   33   75   2.191e-05
   34   74   1.548e-08
   34   76   1.735e-07
   34   77   2.149e-05
   34   78   7.847e-05
   34   80   3.008e-04
   34   82   3.016e-04
   35   79   1.659e-04
   35   81   2.230e-04
   36   78   3.479e-10
   36   80   7.796e-09
   36   82   5.539e-08
   36   83   1.722e-04
   36   84   1.311e-04
   36   86   2.535e-04
   37   85   1.609e-04
   37   87   2.660e-04
   38   84   3.247e-10
   38   86   3.410e-08
   38   87   3.327e-08
   38   88   2.851e-04
   39   89   1.184e-04
   40   90   1.794e-04
   40   91   8.027e-05
   40   92   1.449e-04
   40   94   1.852e-04
   40   96   1.742e-04
   41   93   9.452e-05
   42   92   8.992e-10
   42   94   2.539e-10
   42   95   9.361e-05
   42   96   1.132e-12
   42   97   7.336e-05
   42   98   1.351e-04
   42  100   4.642e-05
   44   96   1.101e-14
   44   98   2.234e-14
   44   99   5.265e-05
   44  100   5.871e-14
   44  101   8.920e-05
   44  102   2.942e-04
   44  104   1.245e-04
   45  103   8.314e-05
   46  102   7.417e-19
   46  104   9.493e-17
   46  105   9.825e-05
   46  106   9.450e-05
   46  108   7.387e-05
   46  110   5.281e-05
   47  107   5.723e-05
   47  109   4.305e-05
   48  110   2.891e-14
   48  111   4.849e-05
   48  112   1.059e-04
   48  113   4.151e-05
   48  114   4.169e-05
   48  116   4.654e-05
   49  113   4.122e-22
   49  115   3.767e-05
   50  115   6.086e-20
   50  116   4.462e-16
   50  117   3.264e-05
   50  118   3.723e-05
   50  119   3.565e-05
   50  120   6.314e-05
   50  122   1.100e-04
   50  124   1.510e-04
   51  121   9.127e-05
   51  123   1.211e-04
   52  122   6.717e-14
   52  123   6.812e-22
   52  124   2.766e-15
   52  125   1.292e-04
   52  126   2.526e-04
   52  128   1.532e-04
   52  130   1.775e-04
   53  127   1.800e-04
   54  128   6.992e-20
   54  129   9.034e-05
   54  130   2.789e-16
   54  131   2.453e-05
   54  132   6.320e-05
   54  134   3.399e-05
   54  136   3.984e-05
   55  133   4.994e-05
   56  134   1.095e-21
   56  135   5.461e-05
   56  136   1.487e-12
   56  137   1.457e-05
   56  138   2.472e-05
   57  139   2.109e-05
   58  140   1.731e-05
   58  142   1.281e-05
   59  141   1.061e-05
   60  142   2.674e-22
   60  143   1.492e-05
   60  144   1.805e-05
   60  145   7.856e-06
   60  146   1.818e-05
   60  148   1.711e-05
   60  150   1.507e-05
   62  147   9.008e-06
   62  148   1.675e-20
   62  149   1.108e-05
   62  150   1.554e-19
   62  152   1.499e-05
   62  154   1.869e-05
   63  151   1.423e-05
   63  153   1.407e-05
   64  154   7.313e-18
   64  155   1.925e-05
   64  156   2.319e-05
   64  157   2.416e-05
   64  158   2.734e-05
   64  160   2.434e-05
   65  159   2.496e-05
   66  160   1.977e-17
   66  161   2.472e-05
   66  162   2.636e-05
   66  163   2.444e-05
   66  164   2.141e-05
   67  165   2.106e-05
   68  166   1.884e-05
   68  167   1.520e-05
   68  168   1.398e-05
   68  170   1.630e-05
   69  169   1.251e-05
   70  170   4.552e-19
   70  171   1.511e-05
   70  172   1.348e-05
   70  173   1.203e-05
   70  174   1.089e-05
   70  176   7.724e-06
   71  175   1.007e-05
   71  176   7.091e-21
   72  177   6.766e-06
   72  178   5.698e-06
   72  179   4.839e-06
   72  180   6.709e-06
   73  181   4.798e-06
   74  182   7.280e-06
   74  183   6.643e-06
   74  184   1.320e-05
   74  186   2.388e-05
   75  185   1.635e-05
   75  187   3.072e-05
   76  187   5.109e-16
   76  188   3.002e-05
   76  189   4.084e-05
   76  190   4.208e-05
   76  192   4.844e-05
   77  191   4.469e-05
   77  193   3.633e-05
   78  192   1.344e-21
   78  194   4.443e-05
   78  195   5.250e-05
   78  196   5.255e-05
   78  198   1.812e-05
   79  197   2.977e-05
   80  198   2.096e-17
   80  199   2.125e-05
   80  200   1.824e-05
   80  201   2.004e-05
   80  202   4.131e-06
   80  204   4.715e-07
   81  203   1.449e-06
   81  205   2.485e-07
   82  204   7.132e-18
