#   Z    A  M_ej/M_sun
    1    1   1.208e-04
    1    2   8.410e-08
    2    3   6.457e-09
    2    4   2.976e-03
    3    6   2.683e-13
    3    7   1.176e-11
    4    9   5.675e-09
    5   10   2.084e-10
    5   11   3.414e-11
    6   12   4.623e-08
    6   13   1.010e-09
    7   14   2.313e-09
    7   15   2.743e-10
    8   16   2.455e-08
    8   17   2.163e-08
    8   18   8.304e-10
    9   19   1.609e-08
   10   20   3.059e-08
   10   21   2.988e-09
   10   22   4.958e-09
   11   23   6.196e-10
   12   24   4.293e-07
   12   25   1.450e-08
   12   26   1.396e-08
   13   27   6.324e-08
   14   28   1.934e-08
   14   29   4.458e-09
   14   30   1.296e-07
   15   31   1.601e-08
   16   32   1.161e-08
   16   33   7.173e-08
   16   34   2.987e-07
   16   36   1.210e-08
   17   35   3.324e-08
   17   37   3.229e-08
   18   36   1.048e-08
   18   38   3.092e-07
   18   40   1.621e-07
   19   39   1.865e-07
   19   40   5.386e-11
   19   41   1.742e-07
   20   40   9.535e-07
   20   42   3.332e-07
   20   43   6.112e-08
   20   44   1.231e-07
   20   46   2.754e-05
   20   48   1.142e-03
   21   45   1.026e-07
   22   46   4.807e-07
   22   47   4.290e-05
   22   48   1.582e-07
   22   49   2.338e-03
   22   50   2.387e-03
   23   50   9.087e-10
   23   51   1.220e-03
   24   50   7.642e-07
   24   52   1.399e-03
   24   53   5.258e-04
   24   54   1.519e-03
   25   55   4.625e-05
   26   54   1.338e-06
   26   56   6.205e-04
   26   57   4.282e-04
   26   58   4.150e-04
   27   59   1.897e-04
   28   58   6.169e-05
   28   60   7.723e-04
   28   61   2.422e-04
   28   62   1.400e-03
   28   64   8.177e-04
   29   63   2.543e-04
   29   65   3.178e-04
   30   64   7.140e-05
   30   66   1.046e-03
   30   67   3.452e-04
   30   68   9.231e-04
   30   70   4.147e-04
   31   69   4.414e-04
   31   71   4.823e-04
   32   70   1.609e-05
   32   72   5.506e-04
   32   73   2.029e-04
   32   74   1.332e-03
   32   76   1.229e-03
   33   75   2.298e-04
   34   74   5.067e-07
   34   76   3.889e-06
   34   77   8.227e-04
   34   78   2.359e-03
   34   80   6.286e-03
   34   82   3.631e-03
   35   79   4.794e-03
   35   81   7.909e-03
   36   78   1.375e-08
   36   80   2.325e-07
   36   82   1.058e-06
   36   83   1.458e-03
   36   84   1.901e-03
   36   86   1.703e-03
   37   85   1.470e-03
   37   87   1.750e-03
   38   84   1.201e-08
   38   86   5.782e-07
   38   87   5.067e-07
   38   88   2.375e-03
   39   89   8.857e-04
   40   90   8.582e-04
   40   91   5.447e-04
   40   92   5.438e-04
   40   94   2.541e-04
   40   96   1.581e-04
   41   93   2.573e-04
   42   92   2.542e-08
   42   94   5.845e-09
   42   95   6.570e-05
   42   96   1.074e-10
   42   97   6.109e-05
   42   98   1.253e-04
   42  100   1.284e-04
   44   96   1.242e-11
   44   98   7.756e-13
   44   99   4.049e-05
   44  100   7.271e-14
   44  101   1.216e-04
   44  102   5.381e-04
   44  104   2.769e-04
   45  103   3.561e-04
   46  102   1.023e-13
   46  104   9.060e-14
   46  105   1.750e-04
   46  106   1.800e-04
   46  108   1.433e-04
   46  110   9.926e-05
   47  107   1.609e-04
   47  109   9.601e-05
   48  106   1.688e-14
   48  108   2.559e-12
   48  110   7.662e-12
   48  111   5.350e-05
   48  112   1.100e-04
   48  113   7.145e-05
   48  114   8.294e-05
   48  116   5.989e-05
   49  113   4.206e-10
   49  115   5.201e-05
   50  112   1.465e-12
   50  114   1.006e-09
   50  115   4.743e-10
   50  116   5.124e-09
   50  117   4.874e-05
   50  118   3.536e-05
   50  119   3.088e-05
   50  120   3.374e-05
   50  122   4.294e-05
   50  124   4.276e-05
   51  121   4.322e-05
   51  123   4.158e-05
   52  120   1.990e-12
   52  122   7.700e-09
   52  123   3.034e-10
   52  124   9.596e-09
   52  125   3.929e-05
   52  126   7.732e-05
   52  128   1.129e-04
   52  130   3.842e-04
   53  127   8.933e-05
   54  124   1.010e-13
   54  126   2.634e-13
   54  128   9.941e-13
   54  129   9.437e-05
   54  130   9.271e-13
   54  131   2.108e-04
   54  132   1.525e-04
   54  134   1.661e-05
   54  136   1.695e-05
   55  133   2.251e-05
   56  130   1.837e-13
   56  132   1.451e-14
   56  134   9.447e-13
   56  135   2.167e-05
   56  136   8.167e-17
   56  137   1.197e-05
   56  138   1.200e-05
   57  138   4.502e-21
   57  139   1.322e-05
   58  136   9.252e-13
   58  138   1.473e-14
   58  140   8.993e-06
   58  142   5.295e-06
   59  141   5.371e-06
   60  142   1.457e-12
   60  143   4.917e-06
   60  144   4.959e-06
   60  145   1.994e-06
   60  146   4.125e-06
   60  148   3.337e-06
   60  150   2.739e-06
   62  144   4.051e-12
   62  147   1.831e-06
   62  148   3.482e-17
   62  149   2.019e-06
   62  150   1.759e-17
   62  152   2.520e-06
   62  154   3.590e-06
   63  151   2.424e-06
   63  153   2.483e-06
   64  152   1.460e-14
   64  154   1.152e-11
   64  155   3.808e-06
   64  156   4.907e-06
   64  157   4.844e-06
   64  158   5.361e-06
   64  160   5.070e-06
   65  159   5.021e-06
   66  156   1.853e-13
   66  158   8.416e-17
   66  160   6.401e-12
   66  161   5.315e-06
   66  162   5.939e-06
   66  163   5.298e-06
   66  164   4.998e-06
   67  165   4.820e-06
   68  162   3.505e-14
   68  164   2.559e-17
   68  166   4.674e-06
   68  167   3.708e-06
   68  168   3.480e-06
   68  170   4.386e-06
   69  169   3.248e-06
   70  168   5.569e-15
   70  170   8.376e-16
   70  171   4.170e-06
   70  172   3.803e-06
   70  173   3.528e-06
   70  174   3.445e-06
   70  176   2.649e-06
   71  175   3.381e-06
   71  176   8.794e-21
   72  174   2.186e-12
   72  176   1.100e-17
   72  177   2.225e-06
   72  178   1.991e-06
   72  179   1.598e-06
   72  180   2.242e-06
   73  181   1.713e-06
   74  180   4.277e-18
   74  182   2.527e-06
   74  183   2.249e-06
   74  184   4.520e-06
   74  186   7.436e-06
   75  185   5.128e-06
   75  187   1.033e-05
   76  184   2.267e-17
   76  186   8.475e-17
   76  187   1.723e-16
   76  188   9.257e-06
   76  189   1.350e-05
   76  190   1.497e-05
   76  192   1.800e-05
   77  191   1.470e-05
   77  193   1.499e-05
   78  190   8.529e-14
   78  192   1.898e-19
   78  194   1.851e-05
   78  195   2.392e-05
   78  196   2.943e-05
   78  198   1.095e-05
   79  197   1.855e-05
   80  196   9.812e-20
   80  198   1.166e-17
   80  199   1.133e-05
   80  200   8.246e-06
   80  201   8.764e-06
   80  202   2.198e-06
   80  204   2.301e-07
   81  203   1.004e-06
   81  205   1.143e-07
   82  204   1.148e-18
   82  206   3.529e-06
   82  207   2.905e-06
   82  208   2.103e-06
   83  209   8.784e-06
   90  232   5.465e-06
   92  235   6.059e-06
   92  238   3.436e-06
