#   Z    A  M_ej/M_sun
    1    1   2.939e-06
    1    2   3.097e-09
    2    3   4.994e-10
    2    4   8.056e-05
    3    6   2.368e-12
    3    7   3.352e-11
    4    9   2.862e-08
    5   10   6.935e-10
    5   11   5.775e-11
    6   12   7.483e-09
    6   13   3.736e-09
    7   14   2.919e-09
    7   15   1.007e-09
    8   16   2.743e-09
    8   17   7.581e-11
    8   18   9.543e-09
    9   19   4.469e-09
   10   20   7.313e-08
   10   21   1.168e-07
   10   22   3.126e-07
   11   23   2.357e-08
   12   24   2.051e-06
   12   25   4.708e-07
   12   26   2.271e-08
   13   27   1.435e-07
   14   28   6.693e-08
   14   29   1.093e-08
   14   30   9.078e-08
   15   31   6.044e-08
   16   32   3.386e-08
   16   33   2.715e-07
   16   34   2.693e-07
   16   36   2.699e-08
   17   35   4.479e-08
   17   37   4.201e-08
   18   36   4.337e-10
   18   38   9.410e-08
   18   40   4.657e-07
   19   39   2.903e-07
   19   40   6.481e-13
   19   41   2.425e-07
   20   40   1.265e-08
   20   42   4.419e-08
   20   43   3.827e-08
   20   44   1.238e-07
   20   46   1.194e-06
   20   48   1.569e-04
   21   45   5.067e-08
   22   46   2.768e-09
   22   47   2.323e-06
   22   48   4.419e-09
   22   49   4.658e-05
   22   50   2.534e-04
   23   50   1.147e-11
   23   51   8.723e-05
   24   50   5.761e-09
   24   52   8.692e-05
   24   53   2.047e-05
   24   54   1.223e-04
   25   55   8.069e-06
   26   54   7.377e-09
   26   56   2.937e-05
   26   57   1.581e-05
   26   58   3.424e-05
   27   59   1.369e-05
   28   58   2.677e-07
   28   60   3.045e-05
   28   61   3.198e-05
   28   62   7.914e-05
   28   64   7.709e-05
   29   63   3.103e-05
   29   65   2.852e-05
   30   64   3.674e-07
   30   66   5.345e-05
   30   67   3.414e-05
   30   68   1.059e-04
   30   70   1.039e-04
   31   69   2.978e-05
   31   71   4.204e-05
   32   70   2.377e-07
   32   72   7.888e-05
   32   73   4.485e-05
   32   74   1.313e-04
   32   76   2.442e-04
   33   75   3.222e-05
   34   74   4.001e-09
   34   76   7.899e-08
   34   77   4.144e-05
   34   78   3.111e-04
   34   80   6.629e-04
   34   82   7.949e-04
   35   79   3.783e-04
   35   81   6.208e-04
   36   78   5.611e-11
   36   80   2.621e-09
   36   82   3.230e-08
   36   83   3.578e-04
   36   84   2.981e-04
   36   86   3.520e-04
   37   85   1.847e-04
   37   87   3.271e-04
   38   84   7.343e-11
   38   86   2.205e-08
   38   87   2.180e-08
   38   88   3.059e-04
   39   89   1.101e-04
   40   90   1.781e-04
   40   91   8.366e-05
   40   92   1.035e-04
   40   94   1.135e-04
   40   96   9.164e-05
   41   93   8.315e-05
   42   92   3.481e-10
   42   94   1.135e-10
   42   95   5.067e-05
   42   96   2.624e-12
   42   97   3.742e-05
   42   98   7.450e-05
   42  100   3.436e-05
   44   96   3.455e-15
   44   98   9.042e-15
   44   99   2.884e-05
   44  100   3.124e-13
   44  101   6.208e-05
   44  102   2.078e-04
   44  104   9.120e-05
   45  103   6.421e-05
   46  102   2.762e-19
   46  104   1.071e-15
   46  105   7.684e-05
   46  106   7.140e-05
   46  108   6.830e-05
   46  110   4.918e-05
   47  107   4.773e-05
   47  109   4.368e-05
   48  110   2.958e-13
   48  111   4.340e-05
   48  112   8.679e-05
   48  113   3.811e-05
   48  114   4.054e-05
   48  116   4.269e-05
   49  113   4.027e-22
   49  115   3.393e-05
   50  115   5.444e-20
   50  116   4.036e-15
   50  117   2.994e-05
   50  118   3.512e-05
   50  119   3.164e-05
   50  120   5.168e-05
   50  122   9.248e-05
   50  124   1.301e-04
   51  121   7.391e-05
   51  123   9.909e-05
   52  122   4.264e-13
   52  123   9.390e-21
   52  124   7.994e-15
   52  125   1.125e-04
   52  126   2.360e-04
   52  128   1.614e-04
   52  130   2.164e-04
   53  127   1.795e-04
   54  128   6.075e-19
   54  129   1.049e-04
   54  130   2.185e-15
   54  131   4.112e-05
   54  132   8.062e-05
   54  134   3.997e-05
   54  136   5.014e-05
   55  133   5.837e-05
   56  134   3.609e-20
   56  135   6.528e-05
   56  136   4.146e-12
   56  137   2.187e-05
   56  138   3.472e-05
   57  139   3.398e-05
   58  140   2.625e-05
   58  142   1.993e-05
   59  141   1.663e-05
   60  142   9.762e-21
   60  143   2.305e-05
   60  144   2.641e-05
   60  145   1.325e-05
   60  146   2.554e-05
   60  148   2.545e-05
   60  150   2.416e-05
   62  147   1.561e-05
   62  148   2.920e-19
   62  149   1.878e-05
   62  150   1.681e-18
   62  152   2.327e-05
   62  154   2.860e-05
   63  151   2.406e-05
   63  153   2.227e-05
   64  154   1.135e-16
   64  155   2.951e-05
   64  156   3.645e-05
   64  157   3.728e-05
   64  158   4.543e-05
   64  160   3.904e-05
   65  159   3.945e-05
   66  160   2.214e-16
   66  161   3.981e-05
   66  162   4.113e-05
   66  163   4.039e-05
   66  164   3.427e-05
   67  165   3.532e-05
   68  166   2.952e-05
   68  167   2.504e-05
   68  168   2.199e-05
   68  170   2.486e-05
   69  169   1.888e-05
   70  170   5.842e-18
   70  171   2.189e-05
   70  172   1.920e-05
   70  173   1.716e-05
   70  174   1.658e-05
   70  176   1.210e-05
   71  175   1.572e-05
   71  176   8.398e-20
   72  177   1.068e-05
   72  178   8.755e-06
   72  179   7.459e-06
   72  180   1.044e-05
   73  181   7.622e-06
   74  182   1.160e-05
   74  183   1.056e-05
   74  184   2.121e-05
   74  186   3.820e-05
   75  185   2.549e-05
   75  187   5.195e-05
   76  187   8.641e-16
   76  188   5.113e-05
   76  189   7.380e-05
   76  190   7.823e-05
   76  192   9.592e-05
   77  191   8.545e-05
   77  193   7.698e-05
   78  192   1.427e-20
   78  194   9.581e-05
   78  195   1.208e-04
   78  196   1.254e-04
   78  198   4.316e-05
   79  197   6.996e-05
   80  198   3.510e-16
   80  199   5.185e-05
   80  200   4.527e-05
   80  201   5.196e-05
   80  202   1.036e-05
   80  204   6.662e-07
   81  203   3.328e-06
   81  205   4.450e-07
   82  204   9.338e-17
   82  206   2.462e-05
