#   Z    A  M_ej/M_sun
   30   69   3.402e-09
   30   70   4.393e-08
   30   71   1.072e-10
   30   72   2.837e-10
   30   73   9.982e-12
   30   74   1.753e-10
   30   75   6.354e-13
   30   76   1.112e-14
   31   61   7.859e-16
   31   62   1.310e-17
   31   63   7.153e-06
   31   64   3.864e-04
   31   65   7.176e-06
   31   66   5.734e-08
   31   67   3.902e-06
   31   68   6.492e-08
   31   69   1.655e-06
   31   70   5.027e-09
   31   71   5.285e-08
   31   72   6.957e-11
   31   73   3.114e-09
   31   74   1.499e-10
   31   75   7.364e-11
   31   76   1.788e-11
   31   77   5.357e-13
   31   78   1.524e-14
   31   79   2.437e-17
   32   64   3.192e-04
   32   65   1.511e-06
   32   66   7.042e-06
   32   67   9.280e-07
   32   68   2.677e-05
   32   69   1.251e-06
   32   70   9.527e-05
   32   71   2.800e-07
   32   72   1.040e-05
   32   73   1.677e-08
   32   74   5.351e-07
   32   75   1.172e-09
   32   76   7.813e-08
   32   77   3.677e-11
   32   78   2.063e-10
   32   79   2.256e-11
   32   80   1.339e-11
   32   81   1.916e-13
   32   82   1.390e-15
   33   67   2.905e-07
   33   68   3.991e-06
   33   69   1.037e-07
   33   70   2.519e-09
   33   71   2.149e-07
   33   72   1.807e-08
   33   73   2.707e-07
   33   74   4.776e-09
   33   75   9.847e-08
   33   76   1.053e-09
   33   77   1.299e-07
   33   78   2.839e-10
   33   79   1.930e-09
   33   80   1.112e-11
   33   81   2.981e-11
   33   82   4.990e-12
   33   83   1.638e-12
   33   84   4.890e-16
   33   85   1.915e-15
   34   68   1.133e-06
   34   69   1.532e-08
   34   70   6.602e-08
   34   71   1.588e-08
   34   72   7.380e-07
   34   73   1.004e-07
   34   74   1.174e-05
   34   75   6.587e-07
   34   76   5.896e-06
   34   77   3.811e-08
   34   78   1.211e-06
   34   79   8.763e-09
   34   80   1.743e-07
   34   81   8.827e-10
   34   82   4.356e-09
   34   83   5.697e-11
   34   84   2.970e-11
   34   85   2.217e-11
   34   86   1.044e-12
   34   87   1.590e-14
   35   71   1.116e-09
   35   72   3.382e-08
   35   73   2.530e-09
   35   74   4.710e-10
   35   75   8.864e-09
   35   76   2.385e-09
   35   77   3.365e-07
   35   78   1.883e-09
   35   79   1.463e-07
   35   80   3.465e-09
   35   81   1.771e-07
   35   82   1.022e-08
   35   83   1.434e-07
   35   84   3.568e-10
   35   85   9.528e-10
   35   86   1.946e-11
   35   87   6.859e-11
   35   88   5.392e-12
   35   89   3.140e-15
   36   72   1.739e-09
   36   73   3.415e-10
   36   74   5.058e-09
   36   75   9.378e-10
   36   76   1.250e-08
   36   77   5.357e-09
   36   78   2.407e-06
   36   79   3.560e-07
   36   80   3.042e-06
   36   81   8.608e-08
   36   82   9.050e-07
   36   83   1.887e-08
   36   84   1.192e-06
   36   85   3.279e-08
   36   86   7.326e-07
   36   87   1.036e-10
   36   88   1.102e-10
   36   89   1.031e-10
   36   90   8.812e-12
   36   91   1.766e-13
   37   75   3.601e-11
   37   76   4.563e-10
   37   77   1.058e-09
   37   78   3.005e-10
   37   79   5.173e-10
   37   80   5.521e-10
   37   81   5.197e-08
   37   82   7.943e-10
   37   83   1.215e-07
   37   84   1.186e-08
   37   85   1.294e-07
   37   86   2.918e-08
   37   87   2.854e-06
   37   88   1.897e-10
   37   89   4.950e-11
   37   90   2.974e-11
   37   91   3.758e-11
   37   92   1.452e-15
   37   93   2.500e-14
   38   76   9.931e-13
   38   77   1.402e-12
   38   78   6.365e-10
   38   79   2.348e-10
   38   80   1.055e-09
   38   81   7.559e-10
   38   82   7.142e-08
   38   83   3.900e-08
   38   84   9.617e-07
   38   85   2.662e-07
   38   86   7.960e-07
   38   87   2.324e-07
   38   88   1.473e-04
   38   89   5.518e-08
