#   Z    A  M_ej/M_sun
    1    1   9.920e-05
    1    2   1.508e-08
    2    3   1.282e-09
    2    4   2.352e-03
    3    6   3.466e-15
    3    7   3.078e-12
    4    9   1.032e-09
    5   10   1.346e-10
    5   11   2.991e-11
    6   12   3.842e-08
    6   13   1.621e-10
    7   14   1.041e-09
    7   15   1.373e-10
    8   16   1.201e-08
    8   17   7.250e-09
    8   18   8.759e-10
    9   19   8.685e-09
   10   20   7.142e-09
   10   21   3.179e-09
   10   22   2.552e-09
   11   23   3.332e-10
   12   24   2.191e-09
   12   25   5.753e-10
   12   26   1.027e-08
   13   27   9.897e-09
   14   28   3.312e-09
   14   29   1.432e-09
   14   30   8.159e-08
   15   31   5.459e-09
   16   32   7.039e-09
   16   33   1.423e-08
   16   34   1.993e-07
   16   36   8.009e-09
   17   35   2.351e-08
   17   37   1.533e-08
   18   36   7.968e-09
   18   38   2.235e-07
   18   40   5.902e-08
   19   39   9.239e-08
   19   40   3.932e-11
   19   41   1.195e-07
   20   40   6.947e-07
   20   42   2.517e-07
   20   43   4.326e-08
   20   44   7.833e-08
   20   46   5.398e-06
   20   48   5.001e-04
   21   45   6.229e-08
   22   46   3.522e-07
   22   47   6.793e-06
   22   48   8.467e-08
   22   49   1.232e-03
   22   50   8.045e-04
   23   50   5.765e-10
   23   51   8.065e-04
   24   50   5.634e-07
   24   52   1.002e-03
   24   53   1.919e-04
   24   54   9.814e-04
   25   55   2.276e-05
   26   54   9.294e-07
   26   56   4.359e-04
   26   57   1.883e-04
   26   58   2.134e-04
   27   59   1.330e-04
   28   58   4.499e-05
   28   60   3.773e-04
   28   61   1.603e-04
   28   62   7.931e-04
   28   64   4.691e-04
   29   63   1.582e-04
   29   65   2.132e-04
   30   64   2.988e-05
   30   66   5.738e-04
   30   67   2.121e-04
   30   68   5.368e-04
   30   70   2.428e-04
   31   69   2.598e-04
   31   71   3.595e-04
   32   70   7.357e-06
   32   72   3.457e-04
   32   73   1.496e-04
   32   74   7.991e-04
   32   76   7.539e-04
   33   75   9.387e-05
   34   74   1.999e-07
   34   76   1.996e-06
   34   77   4.167e-04
   34   78   1.533e-03
   34   80   4.565e-03
   34   82   1.954e-03
   35   79   3.969e-03
   35   81   5.069e-03
   36   78   4.858e-09
   36   80   9.666e-08
   36   82   6.341e-07
   36   83   9.422e-04
   36   84   1.718e-03
   36   86   1.556e-03
   37   85   1.286e-03
   37   87   1.898e-03
   38   84   4.380e-09
   38   86   4.153e-07
   38   87   4.140e-07
   38   88   2.623e-03
   39   89   7.527e-04
   40   90   8.935e-04
   40   91   6.324e-04
   40   92   5.463e-04
   40   94   3.416e-04
   40   96   1.577e-04
   41   93   3.679e-04
   42   92   1.406e-08
   42   94   3.855e-09
   42   95   7.501e-05
   42   96   1.266e-10
   42   97   6.295e-05
   42   98   1.394e-04
   42  100   1.226e-04
   44   96   1.793e-11
   44   98   6.570e-12
   44   99   5.042e-05
   44  100   4.587e-12
   44  101   1.218e-04
   44  102   5.723e-04
   44  104   2.177e-04
   45  103   3.276e-04
   46  102   5.750e-12
   46  104   1.022e-11
   46  105   1.658e-04
   46  106   1.885e-04
   46  108   1.553e-04
   46  110   1.023e-04
   47  107   1.470e-04
   47  109   1.049e-04
   48  106   3.174e-12
   48  108   5.846e-12
   48  110   8.206e-12
   48  111   6.261e-05
   48  112   1.207e-04
   48  113   6.239e-05
   48  114   6.731e-05
   48  116   5.819e-05
   49  113   2.875e-11
   49  115   4.922e-05
   50  112   1.487e-11
   50  114   7.536e-11
   50  115   3.365e-11
   50  116   3.845e-10
   50  117   3.988e-05
   50  118   2.968e-05
   50  119   2.809e-05
   50  120   2.624e-05
   50  122   3.130e-05
   50  124   3.524e-05
   51  121   3.427e-05
   51  123   3.102e-05
   52  120   1.038e-12
   52  122   8.193e-10
   52  123   2.078e-11
   52  124   8.515e-10
   52  125   3.428e-05
   52  126   8.686e-05
   52  128   1.232e-04
   52  130   3.695e-04
   53  127   1.089e-04
   54  124   2.877e-11
   54  126   3.149e-11
   54  128   7.913e-11
   54  129   1.046e-04
   54  130   5.268e-14
   54  131   1.199e-04
   54  132   4.525e-05
   54  134   6.739e-06
   54  136   1.162e-05
   55  133   1.261e-05
   56  130   6.944e-11
   56  132   7.480e-12
   56  134   9.489e-11
   56  135   1.242e-05
   56  136   4.309e-16
   56  137   3.801e-06
   56  138   7.808e-06
   57  138   9.663e-19
   57  139   7.867e-06
   58  136   9.088e-11
   58  138   6.932e-13
   58  140   4.632e-06
   58  142   2.469e-06
   59  141   2.050e-06
   60  142   6.105e-12
   60  143   2.365e-06
   60  144   2.882e-06
   60  145   1.073e-06
   60  146   3.016e-06
   60  148   3.285e-06
   60  150   2.839e-06
   62  144   2.009e-12
   62  147   1.321e-06
   62  148   3.251e-17
   62  149   1.885e-06
   62  150   4.237e-20
   62  152   2.884e-06
   62  154   4.075e-06
   63  151   2.473e-06
   63  153   2.764e-06
   64  152   1.473e-14
   64  154   2.188e-12
   64  155   4.075e-06
   64  156   4.499e-06
   64  157   4.753e-06
   64  158   4.698e-06
   64  160   4.569e-06
   65  159   4.710e-06
   66  156   1.248e-14
   66  158   8.515e-18
   66  160   4.605e-13
   66  161   4.766e-06
   66  162   5.519e-06
   66  163   4.707e-06
