#   Z    A  M_ej/M_sun
   42   91   8.216e-13
   42   92   9.144e-14
   42   93   2.655e-15
   42   94   6.439e-17
   43   88   6.610e-16
   43   89   4.078e-14
   43   90   4.280e-14
   43   91   2.264e-12
   43   92   6.086e-13
   43   93   7.553e-13
   43   94   4.882e-14
   43   95   1.367e-15
   44   90   1.250e-13
   44   91   1.068e-15
   44   92   1.929e-12
   44   93   5.062e-13
   44   94   4.258e-12
   44   95   2.375e-13
   44   96   1.431e-13
   44   97   1.515e-15
   44   98   1.431e-15
   45   93   6.270e-15
   45   94   3.146e-12
   45   95   1.017e-12
   45   96   2.167e-12
   45   97   9.411e-14
   45   98   3.092e-14
   45   99   5.282e-16
   46   94   9.091e-15
   46   95   6.408e-18
   46   96   3.071e-12
   46   97   3.233e-13
   46   98   9.027e-13
   46   99   2.128e-14
   46  100   3.714e-16
   47   97   3.186e-14
   47   98   3.924e-13
   47   99   4.124e-14
   47  100   9.425e-16
   47  101   4.136e-17
   47  102   2.674e-17
   48   98   1.220e-15
   48   99   1.059e-15
   48  100   4.600e-16
   48  101   4.562e-17
   48  102   1.272e-16
   48  103   3.913e-17
   48  104   4.899e-17
   48  106   1.277e-17
   49  103   2.327e-17
   49  104   8.462e-17
   49  105   7.255e-18
   49  106   1.185e-16
   49  108   8.045e-18
   50  104   5.613e-18
   50  106   1.608e-16
   50  108   6.881e-17
   50  109   7.141e-18
   50  110   3.227e-16
   50  111   1.077e-16
   50  112   5.762e-17
   50  113   1.021e-16
   51  111   7.327e-17
   51  113   5.429e-16
   51  115   5.036e-17
   53  119   3.861e-17
   54  122   1.672e-16
   54  123   4.217e-17
   54  125   1.335e-17
   55  123   1.962e-16
   55  125   5.343e-16
   56  128   1.417e-16
   56  129   1.311e-16
   56  131   1.124e-17
   57  129   1.261e-15
   57  131   5.698e-16
   58  134   1.391e-16
   58  135   7.054e-17
   59  135   1.433e-15
   59  137   6.545e-17
   60  140   5.300e-15
   61  143   9.519e-13
   62  142   1.327e-10
   62  143   1.278e-11
   62  144   1.018e-13
   63  143   2.436e-11
   63  144   1.721e-16
   63  145   2.749e-15
   66  154   4.355e-13
   66  155   3.798e-15
   66  156   9.407e-16
   66  157   5.358e-17
   67  155   1.540e-13
   67  156   5.878e-17
   67  157   5.515e-16
   67  160   1.588e-17
   68  160   2.417e-14
   68  161   1.510e-16
   68  162   5.674e-16
   69  161   3.628e-15
   69  163   4.415e-16
   69  166   1.121e-17
   70  166   3.308e-14
   70  167   1.667e-16
   70  168   2.071e-16
   70  170   1.976e-17
   71  167   7.237e-15
   71  168   1.113e-17
   71  169   2.483e-16
   71  171   5.206e-15
   72  174   3.039e-14
   72  175   4.457e-17
   73  175   2.120e-14
   73  179   3.427e-17
   74  178   1.467e-13
   74  179   2.070e-15
   75  179   3.365e-14
   75  181   7.368e-17
   75  182   7.425e-17
   76  182   8.433e-14
   76  183   1.066e-16
   76  184   1.676e-16
   76  186   6.574e-16
   77  183   3.078e-15
   77  185   9.215e-17
   77  187   4.831e-17
   78  190   4.551e-13
   78  191   8.735e-16
   79  191   1.235e-13
   79  192   1.090e-17
   80  194   1.045e-12
   80  195   9.529e-16
   81  195   5.178e-14
   81  196   4.527e-17
   81  199   6.570e-16
   82  199   5.096e-14
   82  200   7.547e-17
   83  200   3.513e-16
