#   Z    A  M_ej/M_sun
    1    1   1.471e-04
    1    2   2.032e-09
    2    3   1.722e-10
    2    4   2.795e-03
    3    6   1.967e-14
    3    7   4.486e-12
    4    9   4.736e-09
    5   10   2.138e-10
    5   11   1.158e-11
    6   12   5.076e-08
    6   13   1.880e-09
    7   14   6.665e-09
    7   15   3.362e-10
    8   16   6.508e-08
    8   17   1.939e-09
    8   18   4.614e-10
    9   19   1.355e-07
   10   20   9.617e-09
   10   21   2.693e-09
   10   22   3.203e-09
   11   23   5.564e-10
   12   24   8.473e-09
   12   25   1.505e-09
   12   26   1.391e-08
   13   27   1.853e-08
   14   28   5.135e-09
   14   29   2.862e-09
   14   30   1.541e-07
   15   31   1.393e-08
   16   32   9.527e-09
   16   33   2.572e-08
   16   34   3.204e-07
   16   36   1.588e-08
   17   35   3.536e-08
   17   37   2.780e-08
   18   36   1.575e-08
   18   38   3.779e-07
   18   40   9.776e-08
   19   39   1.663e-07
   19   40   5.681e-11
   19   41   2.225e-07
   20   40   1.151e-06
   20   42   4.810e-07
   20   43   8.049e-08
   20   44   1.311e-07
   20   46   3.891e-05
   20   48   1.046e-03
   21   45   1.182e-07
   22   46   6.214e-07
   22   47   6.695e-05
   22   48   1.909e-07
   22   49   4.866e-03
   22   50   1.746e-03
   23   50   7.951e-10
   23   51   1.452e-03
   24   50   9.745e-07
   24   52   1.788e-03
   24   53   6.380e-04
   24   54   1.638e-03
   25   55   4.328e-05
   26   54   1.741e-06
   26   56   6.488e-04
   26   57   3.970e-04
   26   58   3.474e-04
   27   59   1.883e-04
   28   58   7.736e-05
   28   60   6.554e-04
   28   61   2.281e-04
   28   62   1.083e-03
   28   64   6.767e-04
   29   63   2.567e-04
   29   65   3.121e-04
   30   64   6.223e-05
   30   66   8.483e-04
   30   67   3.508e-04
   30   68   7.664e-04
   30   70   3.852e-04
   31   69   4.502e-04
   31   71   5.824e-04
   32   70   1.254e-05
   32   72   5.607e-04
   32   73   2.320e-04
   32   74   1.645e-03
   32   76   1.302e-03
   33   75   2.817e-04
   34   74   4.181e-07
   34   76   2.974e-06
   34   77   1.261e-03
   34   78   3.010e-03
   34   80   9.130e-03
   34   82   3.918e-03
   35   79   8.346e-03
   35   81   1.236e-02
   36   78   1.195e-08
   36   80   1.808e-07
   36   82   8.138e-07
   36   83   1.544e-03
   36   84   2.667e-03
   36   86   1.835e-03
   37   85   2.632e-03
   37   87   2.549e-03
   38   84   9.876e-09
   38   86   4.672e-07
   38   87   4.089e-07
   38   88   3.903e-03
   39   89   1.839e-03
   40   90   9.353e-04
   40   91   1.198e-03
   40   92   6.592e-04
   40   94   2.755e-04
   40   96   2.105e-04
   41   93   3.485e-04
   42   92   2.224e-08
   42   94   4.942e-09
   42   95   9.766e-05
   42   96   1.020e-10
   42   97   8.041e-05
   42   98   1.882e-04
   42  100   1.671e-04
   44   96   7.352e-12
   44   98   5.326e-13
   44   99   6.458e-05
   44  100   3.664e-14
   44  101   2.007e-04
   44  102   9.588e-04
   44  104   5.840e-04
   45  103   7.721e-04
   46  102   2.830e-17
   46  104   7.400e-15
   46  105   3.437e-04
   46  106   3.909e-04
   46  108   3.457e-04
   46  110   2.540e-04
   47  107   4.052e-04
   47  109   2.196e-04
   48  106   3.265e-19
   48  108   1.204e-12
   48  110   3.676e-12
   48  111   1.180e-04
   48  112   2.915e-04
   48  113   2.219e-04
   48  114   2.558e-04
   48  116   2.015e-04
   49  113   1.648e-10
   49  115   1.424e-04
   50  112   3.926e-13
   50  114   3.839e-10
   50  115   1.814e-10
   50  116   2.225e-09
   50  117   1.626e-04
   50  118   1.053e-04
   50  119   9.951e-05
   50  120   8.978e-05
   50  122   1.221e-04
   50  124   1.633e-04
   51  121   1.190e-04
   51  123   1.307e-04
   52  120   1.101e-12
   52  122   4.909e-09
   52  123   1.688e-10
   52  124   5.652e-09
   52  125   1.648e-04
   52  126   3.631e-04
   52  128   3.998e-04
   52  130   1.360e-03
   53  127   3.586e-04
   54  124   1.143e-18
   54  126   1.463e-13
   54  128   4.881e-13
   54  129   2.709e-04
   54  130   4.384e-13
   54  131   9.393e-04
   54  132   6.950e-04
   54  134   2.426e-05
   54  136   4.952e-05
   55  133   5.271e-05
   56  130   3.304e-20
   56  134   2.150e-19
   56  135   5.392e-05
   56  136   3.291e-17
   56  137   1.540e-05
   56  138   3.460e-05
   57  139   2.712e-05
   58  136   4.680e-21
   58  140   1.701e-05
   58  142   8.065e-06
   59  141   6.754e-06
   60  142   2.588e-17
   60  143   7.259e-06
   60  144   9.087e-06
   60  145   3.436e-06
   60  146   1.005e-05
   60  148   1.126e-05
   60  150   1.033e-05
   62  144   1.125e-19
   62  147   4.610e-06
   62  148   1.419e-21
   62  149   6.484e-06
   62  150   9.047e-20
   62  152   1.148e-05
   62  154   1.444e-05
   63  151   9.637e-06
   63  153   1.051e-05
   64  152   3.583e-21
   64  154   2.341e-17
   64  155   1.408e-05
   64  156   1.562e-05
   64  157   1.683e-05
   64  158   1.667e-05
   64  160   1.531e-05
   65  159   1.642e-05
   66  156   5.908e-21
   66  160   3.829e-18
   66  161   1.560e-05
   66  162   1.756e-05
   66  163   1.495e-05
   66  164   1.318e-05
   67  165   1.209e-05
   68  162   2.395e-21
   68  166   1.210e-05
   68  167   9.104e-06
   68  168   9.715e-06
   68  170   1.203e-05
   69  169   9.701e-06
   70  170   1.505e-19
   70  171   1.204e-05
   70  172   1.078e-05
   70  173   9.815e-06
   70  174   8.055e-06
   70  176   5.507e-06
   71  175   7.098e-06
   71  176   1.817e-21
   72  174   3.979e-19
   72  177   4.718e-06
   72  178   3.798e-06
   72  179   3.157e-06
   72  180   3.966e-06
   73  181   2.682e-06
   74  182   4.133e-06
   74  183   3.871e-06
   74  184   7.823e-06
   74  186   1.519e-05
   75  185   1.033e-05
   75  187   1.952e-05
   76  184   1.100e-21
   76  186   4.290e-21
   76  187   3.247e-16
   76  188   1.879e-05
   76  189   2.446e-05
   76  190   2.581e-05
   76  192   2.896e-05
   77  191   2.899e-05
   77  193   2.173e-05
   78  190   4.398e-18
   78  192   2.278e-21
   78  194   2.627e-05
   78  195   2.347e-05
   78  196   1.670e-05
   78  198   3.748e-06
   79  197   1.160e-05
   80  198   1.115e-17
   80  199   1.794e-06
   80  200   4.971e-07
   80  201   1.564e-07
   80  202   3.750e-08
   80  204   2.496e-08
   81  203   2.677e-08
   81  205   2.207e-08
   82  204   1.479e-19
   82  206   2.014e-06
   82  207   1.774e-06
   82  208   1.272e-06
   83  209   4.348e-06
   90  232   2.169e-06
   92  235   2.587e-06
   92  238   1.165e-06
