#   Z    A  M_ej/M_sun
   78  196   8.606e-05
   78  198   3.718e-05
   79  197   4.687e-05
   80  196   1.359e-12
   80  198   4.144e-13
   80  199   4.168e-05
   80  200   2.840e-05
   80  201   1.628e-05
   80  202   2.264e-06
   80  204   1.947e-07
   81  203   6.544e-07
   81  205   1.163e-07
   82  204   7.302e-15
   82  206   7.026e-06
   82  207   6.576e-06
   82  208   4.304e-06
   83  209   1.743e-05
   90  232   9.556e-06
   92  235   1.059e-05
   92  238   6.980e-06
