#   Z    A  M_ej/M_sun
    1    1   2.288e-06
    1    2   2.835e-09
    2    3   6.000e-10
    2    4   1.171e-04
    3    6   2.488e-12
    3    7   6.348e-12
    4    9   1.938e-08
    5   10   1.848e-09
    5   11   1.097e-10
    6   12   4.335e-09
    6   13   1.727e-09
    7   14   1.701e-09
    7   15   4.533e-10
    8   16   1.485e-09
    8   17   4.683e-11
    8   18   5.987e-09
    9   19   4.866e-10
   10   20   1.592e-08
   10   21   2.577e-08
   10   22   4.408e-07
   11   23   2.177e-08
   12   24   3.549e-06
   12   25   3.164e-07
   12   26   2.142e-08
   13   27   3.103e-07
   14   28   1.211e-07
   14   29   1.765e-08
   14   30   1.559e-07
   15   31   8.115e-08
   16   32   4.931e-08
   16   33   5.082e-07
   16   34   4.410e-07
   16   36   4.877e-08
   17   35   6.832e-08
   17   37   7.868e-08
   18   36   2.284e-09
   18   38   1.734e-07
   18   40   8.599e-07
   19   39   5.345e-07
   19   40   2.744e-12
   19   41   4.094e-07
   20   40   2.313e-08
   20   42   7.421e-08
   20   43   5.228e-08
   20   44   2.323e-07
   20   46   3.366e-06
   20   48   5.100e-04
   21   45   9.406e-08
   22   46   3.309e-09
   22   47   7.562e-06
   22   48   2.152e-08
   22   49   2.460e-04
   22   50   5.428e-04
   23   50   3.737e-11
   23   51   1.933e-04
   24   50   6.256e-09
   24   52   2.003e-04
   24   53   6.118e-05
   24   54   2.900e-04
   25   55   1.595e-05
   26   54   1.320e-08
   26   56   6.701e-05
   26   57   4.238e-05
   26   58   7.139e-05
   27   59   2.898e-05
   28   58   5.195e-06
   28   60   6.692e-05
   28   61   4.613e-05
   28   62   1.424e-04
   28   64   1.086e-04
   29   63   4.835e-05
   29   65   4.570e-05
   30   64   3.086e-06
   30   66   1.308e-04
   30   67   5.623e-05
   30   68   2.486e-04
   30   70   1.515e-04
   31   69   6.023e-05
   31   71   7.361e-05
   32   70   7.688e-07
   32   72   1.092e-04
   32   73   6.537e-05
   32   74   2.282e-04
   32   76   4.453e-04
   33   75   4.759e-05
   34   74   1.913e-08
   34   76   2.028e-07
   34   77   1.143e-04
   34   78   5.409e-04
   34   80   1.316e-03
   34   82   1.254e-03
   35   79   9.085e-04
   35   81   1.391e-03
   36   78   4.809e-10
   36   80   8.816e-09
   36   82   6.717e-08
   36   83   5.782e-04
   36   84   4.638e-04
   36   86   4.081e-04
   37   85   2.496e-04
   37   87   3.952e-04
   38   84   3.976e-10
   38   86   4.420e-08
   38   87   3.998e-08
   38   88   3.529e-04
   39   89   1.425e-04
   40   90   1.708e-04
   40   91   9.962e-05
   40   92   8.369e-05
   40   94   6.594e-05
   40   96   4.641e-05
   41   93   7.000e-05
   42   92   1.055e-09
   42   94   2.983e-10
   42   95   2.663e-05
   42   96   3.054e-12
   42   97   2.040e-05
   42   98   4.307e-05
   42  100   2.651e-05
   44   96   6.470e-12
   44   98   7.332e-14
   44   99   1.695e-05
   44  100   3.558e-13
   44  101   4.328e-05
   44  102   1.503e-04
   44  104   7.824e-05
   45  103   6.004e-05
   46  102   1.493e-16
   46  104   1.480e-15
   46  105   6.332e-05
   46  106   5.639e-05
   46  108   6.275e-05
   46  110   4.668e-05
