#   Z    A  M_ej/M_sun
    1    1   4.276e-02
    1    2   1.042e-13
    2    3   4.092e-13
    2    4   3.852e-01
    3    6   1.522e-16
    3    7   2.198e-12
    4    9   1.271e-19
    5   10   9.380e-16
    5   11   3.526e-12
    6   12   3.240e-01
    6   13   5.746e-09
    7   14   1.433e-07
    7   15   3.009e-07
    8   16   1.298e+00
    8   17   4.535e-08
    8   18   7.629e-10
    9   19   1.051e-10
   10   20   7.225e-02
   10   21   2.993e-07
   10   22   1.783e-07
   11   23   4.530e-06
   12   24   1.976e-02
   12   25   6.386e-07
   12   26   1.367e-06
   13   27   1.833e-05
   14   28   9.192e-02
   14   29   2.352e-05
   14   30   2.558e-05
   15   31   2.284e-05
   16   32   4.464e-02
   16   33   9.725e-06
   16   34   1.512e-05
   16   36   9.519e-09
   17   35   2.340e-05
   17   37   1.499e-05
   18   36   8.652e-03
   18   38   1.752e-05
   18   40   9.098e-08
   19   39   3.730e-05
   19   40   4.111e-10
   19   41   1.430e-05
   20   40   1.080e-02
   20   42   1.430e-05
   20   43   2.002e-05
   20   44   1.822e-04
   20   46   3.816e-06
   20   48   6.436e-05
   21   45   3.590e-05
   22   46   2.990e-05
   22   47   7.181e-05
   22   48   4.183e-04
   22   49   5.063e-05
   22   50   7.503e-05
   23   50   5.020e-10
   23   51   1.081e-04
   24   50   3.455e-05
   24   52   2.458e-03
   24   53   5.090e-05
   24   54   3.576e-04
   25   55   1.075e-04
   26   54   4.998e-05
   26   56   1.085e+00
   26   57   2.284e-02
   26   58   2.044e-03
   27   59   2.075e-03
   28   58   5.773e-02
   28   60   4.056e-02
   28   61   6.646e-04
   28   62   1.827e-02
   28   64   6.495e-03
   29   63   4.442e-04
   29   65   1.658e-04
   30   64   3.119e-03
   30   66   4.680e-03
   30   67   4.914e-05
   30   68   4.041e-04
   30   70   3.116e-05
   31   69   3.474e-05
   31   71   6.664e-06
   32   70   1.927e-04
   32   72   1.228e-04
   32   73   4.927e-06
   32   74   4.986e-05
   32   76   1.435e-04
   33   75   1.110e-05
   34   74   5.354e-06
   34   76   3.008e-05
   34   77   3.787e-05
   34   78   2.324e-04
   34   80   1.620e-04
   34   82   3.581e-04
   35   79   7.098e-05
   35   81   6.349e-05
   36   78   2.005e-07
   36   80   2.208e-06
   36   82   6.940e-06
   36   83   5.237e-05
   36   84   3.002e-04
   36   86   1.824e-03
   37   85   7.861e-05
   37   87   3.934e-04
   38   84   1.702e-07
   38   86   2.824e-06
   38   87   1.651e-06
   38   88   3.095e-03
   39   89   2.318e-04
   40   90   5.445e-04
   40   91   4.676e-05
   40   92   1.655e-04
   40   94   1.709e-04
   40   96   4.290e-05
   41   93   1.488e-05
   42   92   4.979e-07
   42   94   1.792e-06
   42   95   4.555e-05
   42   96   7.562e-10
   42   97   6.984e-06
   42   98   1.522e-05
   42  100   2.045e-05
   44   96   1.823e-06
   44   98   7.915e-08
   44   99   7.969e-07
   44  100   3.594e-08
   44  101   7.954e-06
   44  102   1.758e-05
   44  104   2.881e-05
   45  103   1.309e-05
   46  102   5.109e-08
   46  104   7.736e-08
   46  105   1.384e-05
   46  106   6.341e-06
   46  108   6.690e-06
   46  110   4.620e-06
   47  107   8.626e-06
   47  109   6.216e-06
   48  106   2.806e-08
   48  108   7.888e-08
   48  110   8.690e-08
   48  111   2.004e-06
   48  112   2.127e-06
   48  113   4.883e-06
   48  114   8.489e-06
   48  116   2.229e-06
   49  113   4.345e-08
   49  115   4.049e-06
   50  112   1.174e-07
   50  114   2.181e-08
   50  115   2.524e-08
   50  116   3.904e-10
   50  117   4.175e-06
   50  118   2.702e-06
   50  119   9.558e-07
   50  120   1.807e-06
   50  122   7.612e-07
   50  124   3.275e-07
   51  121   1.301e-06
   51  123   6.245e-07
   52  120   1.364e-09
   52  122   3.526e-08
   52  123   4.514e-09
   52  124   2.589e-10
   52  125   4.855e-07
   52  126   2.097e-06
   52  128   4.008e-06
   52  130   1.739e-05
   53  127   8.706e-07
   54  124   9.741e-08
   54  126   1.718e-08
   54  128   8.913e-08
   54  129   4.136e-06
   54  130   5.542e-12
   54  131   1.390e-05
   54  132   6.729e-06
   54  134   2.751e-07
   54  136   2.817e-07
   55  133   7.680e-07
   56  130   3.054e-08
   56  132   9.375e-10
   56  134   6.120e-08
   56  135   1.919e-07
   56  136   6.502e-10
   56  137   1.781e-07
   56  138   1.528e-07
   57  138   5.774e-10
   57  139   2.764e-07
   58  136   6.702e-09
   58  138   1.008e-10
   58  140   4.143e-07
   58  142   6.022e-08
   59  141   8.281e-08
   60  142   3.254e-07
   60  143   6.944e-08
   60  144   6.211e-08
   60  145   9.074e-08
   60  146   5.481e-08
   60  148   3.918e-08
   60  150   5.466e-08
   62  144   6.578e-09
   62  147   3.413e-08
   62  148   3.432e-12
   62  149   2.508e-08
   62  150   3.029e-11
   62  152   7.571e-08
   62  154   6.284e-08
   63  151   5.442e-08
   63  153   1.069e-07
   64  152   4.800e-11
   64  154   7.540e-07
   64  155   1.286e-07
   64  156   1.250e-07
   64  157   9.612e-08
   64  158   1.044e-07
   64  160   9.870e-08
   65  159   1.035e-07
   66  156   4.824e-09
   66  158   5.231e-11
   66  160   3.160e-08
   66  161   1.015e-07
   66  162   1.689e-07
   66  163   1.152e-07
   66  164   9.343e-08
   67  165   8.824e-08
   68  162   1.392e-09
   68  164   1.333e-11
   68  166   1.370e-07
   68  167   9.487e-08
   68  168   8.215e-08
   68  170   1.213e-07
   69  169   8.785e-08
   70  168   8.556e-10
   70  170   8.504e-11
   70  171   1.028e-07
   70  172   1.046e-07
   70  173   1.084e-07
   70  174   1.144e-07
   70  176   9.463e-08
   71  175   1.056e-07
   71  176   6.646e-13
   72  174   5.678e-08
   72  176   2.162e-10
   72  177   1.145e-07
   72  178   2.085e-07
   72  179   8.298e-08
   72  180   5.221e-08
   73  181   3.577e-08
   74  180   2.932e-10
   74  182   4.276e-08
   74  183   3.388e-08
   74  184   3.146e-08
   74  186   5.635e-08
   75  185   3.294e-08
   75  187   7.018e-08
   76  184   9.793e-12
   76  186   3.378e-11
   76  187   1.807e-12
   76  188   7.047e-08
   76  189   7.669e-08
   76  190   8.728e-08
   76  192   2.435e-07
   77  191   1.524e-07
   77  193   3.233e-07
   78  190   1.272e-08
   78  192   2.374e-11
   78  194   5.273e-07
   78  195   6.218e-07
   78  196   8.787e-07
   78  198   6.478e-07
   79  197   8.411e-07
   80  196   2.141e-12
   80  198   7.174e-16
   80  199   7.916e-07
   80  200   4.955e-07
   80  201   2.047e-07
   80  202   3.391e-08
   80  204   1.129e-08
   81  203   1.468e-08
   81  205   8.120e-09
   82  204   9.233e-17
   82  206   1.086e-07
   82  207   8.045e-08
   82  208   7.077e-08
   83  209   1.474e-07
   90  232   5.486e-08
   92  235   5.543e-08
   92  238   3.018e-08
