#   Z    A  M_ej/M_sun
    1    1   2.403e-03
    1    2   7.153e-09
    2    3   2.315e-10
    2    4   1.420e-01
    3    6   1.166e-14
    3    7   4.953e-12
    4    9   2.983e-11
    5   10   1.909e-09
    5   11   1.955e-11
    6   12   3.135e-01
    6   13   2.391e-09
    7   14   4.553e-08
    7   15   2.943e-07
    8   16   1.272e+00
    8   17   1.845e-09
    8   18   6.493e-09
    9   19   1.284e-09
   10   20   5.883e-02
   10   21   5.924e-07
   10   22   1.642e-07
   11   23   2.349e-06
   12   24   1.735e-02
   12   25   3.282e-07
   12   26   1.324e-06
   13   27   1.849e-05
   14   28   5.200e-02
   14   29   2.445e-05
   14   30   1.751e-05
   15   31   1.575e-05
   16   32   2.096e-02
   16   33   9.405e-06
   16   34   4.495e-06
   16   36   7.595e-08
   17   35   8.565e-06
   17   37   4.702e-06
   18   36   4.017e-03
   18   38   3.398e-06
   18   40   4.072e-07
   19   39   5.113e-06
   19   40   9.346e-11
   19   41   6.896e-06
   20   40   5.045e-03
   20   42   6.909e-06
   20   43   4.210e-06
   20   44   5.453e-05
   20   46   1.027e-05
   20   48   9.203e-03
   21   45   1.482e-05
   22   46   2.967e-06
   22   47   1.379e-05
   22   48   1.434e-04
   22   49   2.912e-04
   22   50   2.601e-03
   23   50   7.932e-10
   23   51   2.981e-04
   24   50   5.875e-06
   24   52   2.136e-03
   24   53   1.235e-04
   24   54   1.781e-03
   25   55   1.563e-04
   26   54   1.724e-05
   26   56   2.302e-01
   26   57   4.431e-03
   26   58   5.199e-03
   27   59   1.421e-03
   28   58   4.612e-02
   28   60   3.377e-02
   28   61   7.896e-04
   28   62   2.530e-02
   28   64   1.560e-02
   29   63   7.612e-04
   29   65   3.079e-04
   30   64   4.722e-03
   30   66   2.378e-02
   30   67   2.325e-04
   30   68   1.238e-02
   30   70   6.562e-04
   31   69   2.426e-04
   31   71   1.266e-04
   32   70   1.719e-04
   32   72   5.575e-04
   32   73   1.857e-04
   32   74   2.382e-03
   32   76   3.305e-03
   33   75   1.451e-04
   34   74   5.219e-06
   34   76   1.818e-05
   34   77   3.719e-04
   34   78   3.520e-03
   34   80   7.628e-03
   34   82   6.361e-03
   35   79   1.195e-03
   35   81   1.764e-03
   36   78   1.978e-07
   36   80   1.509e-06
   36   82   4.351e-06
   36   83   1.845e-03
   36   84   7.486e-03
   36   86   3.867e-03
   37   85   6.106e-04
   37   87   2.706e-04
   38   84   1.161e-07
   38   86   1.729e-06
   38   87   1.440e-06
   38   88   2.632e-03
   39   89   4.677e-04
   40   90   1.060e-03
   40   91   9.109e-05
   40   92   3.045e-04
   40   94   3.363e-04
   40   96   4.351e-05
   41   93   2.427e-04
   42   92   1.857e-06
   42   94   4.294e-07
   42   95   1.928e-05
   42   96   1.435e-10
   42   97   5.485e-05
   42   98   2.315e-05
   42  100   5.943e-05
   44   96   5.873e-07
   44   98   1.363e-08
   44   99   5.843e-06
   44  100   2.690e-09
   44  101   5.741e-05
   44  102   2.250e-04
   44  104   3.235e-04
   45  103   1.687e-04
   46  102   3.268e-09
   46  104   1.278e-08
   46  105   2.463e-04
   46  106   4.281e-05
   46  108   1.030e-04
   46  110   2.554e-05
   47  107   8.387e-05
   47  109   5.722e-05
   48  106   1.402e-08
   48  108   3.115e-08
   48  110   5.957e-08
   48  111   2.753e-05
   48  112   2.984e-05
   48  113   5.184e-05
   48  114   7.890e-05
   48  116   1.920e-05
   49  113   3.558e-08
   49  115   4.625e-05
   50  112   7.232e-08
   50  114   4.541e-08
   50  115   5.055e-08
   50  116   1.624e-08
   50  117   3.447e-05
   50  118   2.902e-05
   50  119   7.730e-06
   50  120   1.155e-05
   50  122   6.824e-06
   50  124   3.482e-06
   51  121   1.061e-05
   51  123   4.638e-06
   52  120   1.355e-08
   52  122   4.806e-08
   52  123   3.764e-08
   52  124   1.051e-09
   52  125   2.537e-06
   52  126   1.945e-05
   52  128   3.796e-05
   52  130   1.649e-04
   53  127   8.085e-06
   54  124   4.847e-08
   54  126   2.722e-08
   54  128   4.124e-08
   54  129   3.247e-05
   54  130   9.647e-10
   54  131   1.236e-04
   54  132   7.402e-05
   54  134   3.509e-06
   54  136   1.368e-06
   55  133   1.294e-05
   56  130   3.215e-08
   56  132   1.199e-08
   56  134   1.761e-08
   56  135   3.119e-06
   56  136   7.612e-09
   56  137   1.985e-06
   56  138   6.021e-07
   57  138   1.471e-09
   57  139   2.542e-06
   58  136   2.538e-08
   58  138   4.021e-08
   58  140   1.246e-06
   58  142   1.055e-06
   59  141   1.283e-06
   60  142   1.374e-07
   60  143   1.195e-06
   60  144   9.418e-07
   60  145   8.130e-07
   60  146   6.282e-07
   60  148   8.548e-07
   60  150   9.908e-07
