#   Z    A  M_ej/M_sun
    1    1   6.431e-03
    1    2   2.669e-16
    2    3   4.371e-15
    2    4   1.121e-01
    3    7   8.336e-15
    4    9   2.425e-20
    5   10   5.143e-17
    5   11   3.858e-12
    6   12   3.114e-01
    6   13   1.479e-09
    7   14   1.006e-07
    7   15   3.044e-07
    8   16   1.192e+00
    8   17   3.351e-09
    8   18   2.728e-10
    9   19   3.493e-09
   10   20   4.039e-02
   10   21   3.729e-07
   10   22   2.661e-07
   11   23   5.594e-05
   12   24   2.293e-02
   12   25   3.354e-06
   12   26   1.565e-05
   13   27   1.307e-04
   14   28   7.147e-02
   14   29   5.847e-05
   14   30   2.327e-05
   15   31   2.577e-05
   16   32   2.896e-02
   16   33   1.771e-05
   16   34   3.511e-06
   16   36   1.122e-07
   17   35   6.083e-06
   17   37   2.003e-06
   18   36   5.364e-03
   18   38   1.171e-06
   18   40   6.670e-07
   19   39   2.739e-06
   19   40   4.320e-11
   19   41   1.418e-05
   20   40   6.635e-03
   20   42   1.324e-05
   20   43   4.731e-06
   20   44   3.683e-05
   20   46   1.143e-05
   20   48   2.703e-03
   21   45   1.540e-05
   22   46   1.169e-06
   22   47   1.459e-05
   22   48   9.932e-05
   22   49   1.438e-04
   22   50   8.054e-04
   23   50   2.389e-10
   23   51   1.489e-04
   24   50   2.748e-06
   24   52   1.321e-03
   24   53   6.439e-05
   24   54   8.672e-04
   25   55   7.201e-05
   26   54   1.167e-05
   26   56   1.641e-01
   26   57   4.412e-03
   26   58   4.265e-03
   27   59   1.072e-03
   28   58   2.752e-02
   28   60   3.176e-02
   28   61   5.666e-04
   28   62   2.146e-02
   28   64   1.038e-02
   29   63   5.734e-04
   29   65   2.123e-04
   30   64   4.882e-03
   30   66   1.273e-02
   30   67   1.046e-04
   30   68   4.075e-03
   30   70   1.630e-04
   31   69   1.178e-04
   31   71   6.358e-05
   32   70   3.337e-04
   32   72   2.881e-04
   32   73   5.890e-05
   32   74   8.455e-04
   32   76   1.089e-03
   33   75   6.030e-05
   34   74   9.883e-06
   34   76   4.272e-05
   34   77   1.684e-04
   34   78   1.250e-03
   34   80   2.768e-03
   34   82   3.336e-03
   35   79   4.158e-04
   35   81   8.546e-04
   36   78   3.215e-07
   36   80   3.348e-06
   36   82   9.679e-06
   36   83   1.231e-03
   36   84   2.852e-03
   36   86   3.213e-03
   37   85   3.375e-04
   37   87   2.679e-04
   38   84   2.468e-07
   38   86   4.114e-06
   38   87   2.464e-06
   38   88   3.638e-03
   39   89   5.492e-04
   40   90   1.200e-03
   40   91   2.908e-05
   40   92   1.790e-04
   40   94   3.607e-05
   40   96   1.466e-05
   41   93   4.124e-05
   42   92   2.275e-05
   42   94   3.713e-06
   42   95   9.677e-06
   42   96   1.700e-10
   42   97   4.312e-06
   42   98   3.653e-06
   42  100   9.299e-06
   44   96   2.283e-08
   44   98   7.599e-10
   44   99   1.338e-06
   44  100   1.927e-10
   44  101   1.282e-05
   44  102   3.138e-05
   44  104   5.650e-05
   45  103   2.610e-05
   46  102   3.418e-11
   46  104   3.738e-11
   46  105   3.808e-05
   46  106   8.962e-06
   46  108   1.853e-05
   46  110   6.231e-06
   47  107   1.830e-05
   47  109   1.601e-05
   48  106   2.236e-10
   48  108   1.658e-10
   48  110   4.140e-10
   48  111   4.143e-06
   48  112   6.067e-06
   48  113   1.119e-05
   48  114   1.699e-05
   48  116   5.584e-06
   49  113   1.162e-10
   49  115   1.310e-05
   50  112   1.366e-09
   50  114   2.789e-09
   50  115   1.772e-10
   50  116   7.167e-11
   50  117   7.868e-06
   50  118   9.502e-06
   50  119   1.888e-06
   50  120   2.954e-06
   50  122   2.103e-06
   50  124   1.000e-06
   51  121   3.409e-06
   51  123   8.202e-07
   52  120   5.381e-10
