#   Z    A  M_ej/M_sun
   78  198   2.621e-05
   79  197   3.001e-05
   80  196   1.013e-14
   80  198   2.490e-14
   80  199   3.281e-05
   80  200   1.931e-05
   80  201   8.119e-06
   80  202   1.083e-06
   80  204   4.371e-07
   81  203   3.824e-07
   81  205   2.603e-07
   82  204   5.339e-17
   82  206   5.513e-06
   82  207   5.319e-06
   82  208   3.198e-06
   83  209   1.216e-05
   90  232   5.933e-06
   92  235   5.362e-06
   92  238   2.915e-06
